created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2025-07-02T19:55:13Z,www.amazon.com,Not Available,Kindle for iOS,B0DKG9MS7S,About This Book BSE,Open the book,2025-07-02T19:55:10Z,2025-07-02T19:55:13Z,KFX
2025-09-01T18:38:21Z,www.amazon.com,Not Available,Kindle for iOS,B0DPX5M3BH,Before You Go BSE,Reach end of book,2025-09-01T18:38:03Z,2025-09-01T18:38:21Z,KFX
2024-11-19T17:57:52Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2024-11-19T17:57:51Z,2024-11-19T17:57:52Z,KFX
2025-05-20T10:53:49Z,www.amazon.com,Not Available,Kindle for iOS,B0D3Z2M35D,About This Book BSE,Open the book,2025-05-20T10:53:42Z,2025-05-20T10:53:49Z,KFX
2025-05-18T02:17:40Z,www.amazon.com,Not Available,Kindle for iOS,B01FWXWOV2,About This Book BSE,Click on About This Book,2025-05-18T02:16:47Z,2025-05-18T02:17:40Z,KFX
2025-09-17T02:58:12Z,www.amazon.com,Not Available,Kindle for iOS,B0DXVVG8LM,About This Book BSE,Open the book,2025-09-17T02:58:09Z,2025-09-17T02:58:12Z,KFX
2024-12-03T19:59:33Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2024-12-03T19:59:02Z,2024-12-03T19:59:33Z,KFX
2024-05-17T11:31:33Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Before You Go BSE,Reach end of book,2024-05-17T11:31:24Z,2024-05-17T11:31:33Z,KFX
2024-03-03T07:24:46Z,www.amazon.com,Not Available,Kindle for iOS,B08K62VYDJ,Before You Go BSE,Reach end of book,2024-03-03T07:24:38Z,2024-03-03T07:24:46Z,KFX
2024-05-04T22:04:48Z,www.amazon.com,Not Available,Kindle for iOS,B00IUS9FOG,Before You Go BSE,Reach end of book,2024-05-04T22:04:39Z,2024-05-04T22:04:48Z,KFX
