created_timestamp,ASIN,customer_context,action,device_family,country,preferred_marketplace
2025-04-21T15:23:53Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-09T23:33:05Z,B08XK8L1J7,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-30T00:52:17Z,B0D5YMWD9Y,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-31T22:14:35Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T00:17:24Z,B0C4JMJBNX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-08-23T20:07:02Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-02T22:28:12Z,B0C6NBLBL2,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-21T02:31:00Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T02:44:36Z,B0C4JMJBNX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-06-10T03:35:10Z,B0D2GST88W,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-13T19:58:45Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-06-23T21:22:53Z,B0DFGDFM4V,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T03:26:13Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-19T03:25:49Z,B0CL1C4PM4,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T00:34:12Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-09T22:45:17Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-31T22:12:07Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-05T18:14:29Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-15T23:09:49Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-06-07T01:04:46Z,B0DQVGJ7ZK,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-16T00:09:02Z,B0CW1J839S,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-08-08T22:15:19Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-10T17:12:08Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T00:07:26Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-09T22:47:28Z,B0C4JMJBNX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-12T00:00:46Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-28T02:58:43Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T01:00:48Z,B0C4JMJBNX,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-03T12:00:33Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-14T01:40:00Z,B09JBCGQB8,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-21T15:23:13Z,B0D7F96JNZ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-31T22:12:22Z,B0CW1J839S,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-15T18:23:23Z,B0CW1FKFB9,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-08-16T21:09:28Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-30T18:57:06Z,B08XK8L1J7,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-08T22:10:41Z,75138A0188C24E0CB2340EECDBF7A111,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-29T20:28:35Z,B0CZP7QV5D,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-30T23:24:32Z,B00DE5EBZ8,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T00:39:58Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-03T21:46:09Z,B0C6NBLBL2,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-04T04:20:02Z,B0DKG9MS7S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-08T16:58:21Z,B07N6PJWQF,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-25T02:00:51Z,B0D7F96JNZ,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-28T17:59:41Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-12T01:14:41Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-10T02:13:29Z,B0CJDMBYCT,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-09-03T21:46:05Z,B0C6NBLBL2,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-11T02:05:44Z,B0DY891B7R,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T04:18:06Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-07-31T22:13:56Z,B0CW1J839S,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-08-17T17:52:16Z,B0D7F96JNZ,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-07-04T04:57:22Z,B0DKG9MS7S,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T03:12:26Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-06-14T00:52:25Z,B09JBCGQB8,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-08T02:11:18Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-18T21:07:55Z,B0CNSGXRN9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-04-23T03:06:27Z,B0CR1N7YGX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-03-19T03:23:56Z,B0CL1C4PM4,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-04-16T00:08:47Z,B0CW1J839S,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-03-18T20:22:21Z,B0DDKHNVWF,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T00:42:30Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-03-19T03:26:00Z,B0CL1C4PM4,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-27T01:56:57Z,B08LDYBGJD,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T01:27:01Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-11T00:34:18Z,B0C4JMJBNX,Not Applicable,GoToResult,Kindle for iOS,Not Available,www.amazon.com
2025-04-10T12:22:35Z,B08XK8L1J7,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-02-16T00:40:10Z,B0CW1FKFB9,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-09-04T00:08:56Z,B0C6NBLBL2,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
2025-05-11T16:33:55Z,B00JAXSEFQ,Not Applicable,Search,Kindle for iOS,Not Available,www.amazon.com
