ASIN,"Content Update Receipt Date","Content Update Start Date","Creation Date","Current Book Format","Device Family","Device Serial Number",Marketplace,"New Book Format",Reason,"Software Version",Status,"Update Date","Update Target"
B08Y6DCS1Y,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B08K62VYDJ,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B09QY2KWKY,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B01MST9RU9,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B01N5C6HP9,"NOT AVAILABLE","NOT AVAILABLE",2024-03-03T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B01MYYEYWP,"NOT AVAILABLE","NOT AVAILABLE",2024-03-04T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B01MTZDCUN,"NOT AVAILABLE","NOT AVAILABLE",2024-03-04T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B0188332MI,"NOT AVAILABLE","NOT AVAILABLE",2024-03-04T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B00DE5EBZ8,"NOT AVAILABLE","NOT AVAILABLE",2024-03-04T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
B09NJBVM8Z,"NOT AVAILABLE","NOT AVAILABLE",2024-03-05T00:00:00.00Z,"Enhanced TypeSetting",IOS,"64A32768C3794A7CA443A2368E83E905","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE",1191412234,Failed,"NOT AVAILABLE","NOT AVAILABLE"
