created_timestamp,preferred_marketplace,country,device_family,ASIN,device_active_time_in_ms
2024-04-06T04:16:34Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,7116745
2024-04-09T02:14:16Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,3559635
2024-04-06T22:36:56Z,www.amazon.com,US,Kindle E-reader,Not Available,8157770
2024-04-08T14:09:23Z,www.amazon.com,US,Kindle E-reader,Not Available,193934
2024-04-16T01:09:03Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,27093
2024-04-21T21:16:51Z,www.amazon.com,US,Kindle E-reader,Not Available,612678
2024-04-08T19:21:32Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,4705868
2024-04-20T20:49:26Z,www.amazon.com,US,Kindle E-reader,Not Available,9816718
2024-04-08T23:41:22Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,60960
2024-04-08T23:13:14Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,1378473
2024-07-20T16:27:23Z,www.amazon.com,US,Kindle E-reader,Not Available,44369
2024-04-16T01:49:10Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,1122800
2024-04-08T14:58:55Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,2543931
2024-04-06T15:00:39Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,6934020
2024-04-20T22:02:08Z,www.amazon.com,US,Kindle E-reader,B01N9F5IOL,399577
2024-03-30T07:15:21Z,www.amazon.com,US,Kindle E-reader,B09DTJF1WD,5767563
2024-04-08T01:42:51Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,3603803
2024-04-08T02:01:46Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,986018
2024-04-20T21:23:20Z,www.amazon.com,US,Kindle E-reader,Not Available,136468
2024-04-06T11:18:21Z,www.amazon.com,US,Kindle E-reader,B00BKK6E04,5109932
2024-03-31T00:33:16Z,www.amazon.com,US,Kindle E-reader,Not Available,564126
2024-04-16T02:07:16Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,11254
2024-04-22T02:05:47Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,222338
2024-04-08T17:40:01Z,www.amazon.com,US,Kindle E-reader,Not Available,2918570
2024-04-08T21:35:49Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,6267236
2024-03-01T00:10:09Z,www.amazon.com,US,Kindle E-reader,Not Available,599249
2025-05-20T11:53:36Z,www.amazon.com,US,Kindle E-reader,Not Available,214077
