asin,end_time,reading_marketplace,start_time,total_reading_milliseconds
B09S1CMMBT,2024-02-25T02:48:18.800Z,US,2024-02-25T02:48:14.700Z,4100
B08K62VYDJ,2024-02-24T17:12:17.600Z,US,2024-02-24T17:09:52.900Z,144700
B07XQK3SGQ,2024-02-25T14:34:27.100Z,US,2024-02-25T14:34:12.600Z,14500
B09CNFRZDC,2024-02-24T20:39:30.200Z,US,2024-02-24T20:30:16.700Z,553500
B08K62VYDJ,2024-02-24T17:14:01.900Z,US,2024-02-24T17:13:18.900Z,43000
B07XQK3SGQ,2024-02-24T20:17:31Z,US,2024-02-24T20:16:55Z,36000
B09S1CMMBT,2024-02-24T21:27:20.400Z,US,2024-02-24T21:18:08.700Z,551700
B09S1CMMBT,2024-02-25T05:03:30.200Z,US,2024-02-25T04:48:07.500Z,922700
B08K62VYDJ,2024-02-24T16:54:18.700Z,US,2024-02-24T16:45:27.900Z,530800
B09S1CMMBT,2024-02-26T00:17:13.900Z,US,2024-02-26T00:17:07.900Z,6000
B0B232HFC9,2024-02-25T17:06:21Z,US,2024-02-25T17:02:49.300Z,211700
B09X6KD3CS,2024-02-26T13:34:12.100Z,US,2024-02-26T13:31:58.300Z,133800
B0B232HFC9,2024-02-25T22:57:28.500Z,US,2024-02-25T22:54:44.400Z,164100
B09X6KD3CS,2024-02-26T14:35:18.700Z,US,2024-02-26T14:24:06.600Z,672100
B09HLCTYZ8,2024-02-26T00:13:04.100Z,US,2024-02-26T00:13:01Z,3100
B09X6KD3CS,2024-02-26T13:39:38.200Z,US,2024-02-26T13:34:49.600Z,288600
B0B232HFC9,2024-02-25T18:13:51.600Z,US,2024-02-25T18:11:40.400Z,131200
B0B232HFC9,2024-02-25T19:16:06.600Z,US,2024-02-25T18:33:28.600Z,2558000
B09HLCTYZ8,2024-02-26T00:48:35.555Z,US,2024-02-26T00:48:35.555Z,0
B0B232HFC9,2024-02-25T22:16:21.300Z,US,2024-02-25T22:15:38.500Z,42800
B0B232HFC9,2024-02-25T20:14:58.700Z,US,2024-02-25T20:13:48.900Z,69800
B0B232HFC9,2024-02-25T17:16:34.500Z,US,2024-02-25T17:14:34.700Z,119800
B09X6KD3CS,2024-02-26T14:00:19.500Z,US,2024-02-26T13:39:47.700Z,1231800
B0B232HFC9,2024-02-25T15:29:59.400Z,US,2024-02-25T15:20:58.500Z,540900
B09X6KD3CS,2024-02-26T15:02:46.100Z,US,2024-02-26T15:02:27.600Z,18500
B0B232HFC9,2024-02-25T15:33:32.800Z,US,2024-02-25T15:32:34.600Z,58200
B0B232HFC9,2024-02-25T17:11:46.500Z,US,2024-02-25T17:07:46Z,240500
B09X6KD3CS,2024-02-26T09:01:57Z,US,2024-02-26T08:38:05.300Z,1431700
B0B232HFC9,2024-02-25T20:12:42.800Z,US,2024-02-25T19:19:10.300Z,3212500
B0B232HFC9,2024-02-25T17:01:53.500Z,US,2024-02-25T16:44:49.100Z,1024400
B09HLCTYZ8,2024-02-26T01:06:40Z,US,2024-02-26T00:56:50.300Z,589700
B0B232HFC9,2024-02-25T18:03:40Z,US,2024-02-25T17:52:12.800Z,687200
B0B232HFC9,2024-02-25T23:52:42.100Z,US,2024-02-25T23:52:25.200Z,16900
B09HLCTYZ8,2024-02-26T02:04:59.800Z,US,2024-02-26T02:04:52.700Z,7100
B0B232HFC9,2024-02-25T22:26:08.300Z,US,2024-02-25T22:25:46.400Z,21900
B09X6KD3CS,2024-02-26T08:35:04.300Z,US,2024-02-26T08:33:23.500Z,100800
B0B232HFC9,2024-02-25T22:59:42.300Z,US,2024-02-25T22:58:04.900Z,97400
B09HLCTYZ8,2024-02-26T02:22:21.300Z,US,2024-02-26T02:21:43Z,38300
B09HLCTYZ8,2024-02-26T08:33:05.200Z,US,2024-02-26T08:32:56.400Z,8800
B0B232HFC9,2024-02-25T23:57:53.300Z,US,2024-02-25T23:57:50Z,3300
B09X6KD3CS,2024-02-26T15:00:14.400Z,US,2024-02-26T14:52:19.600Z,474800
B0B232HFC9,2024-02-25T20:13:33Z,US,2024-02-25T20:13:21.800Z,11200
B0B232HFC9,2024-02-25T22:25:10.800Z,US,2024-02-25T22:17:00.300Z,490500
B0B232HFC9,2024-02-25T20:40:58.500Z,US,2024-02-25T20:15:04Z,1554500
B0B232HFC9,2024-02-25T22:08:50.900Z,US,2024-02-25T21:04:35.900Z,3855000
B09X6KD3CS,2024-02-26T14:17:39.300Z,US,2024-02-26T14:00:50.100Z,1009200
B0B232HFC9,2024-02-25T20:13:01.100Z,US,2024-02-25T20:12:51.300Z,9800
B09HLCTYZ8,2024-02-26T08:30:50.100Z,US,2024-02-26T08:30:30.100Z,20000
B0B232HFC9,2024-02-25T22:13:26.900Z,US,2024-02-25T22:09:09.100Z,257800
B09HLCTYZ8,2024-02-26T02:00:37.700Z,US,2024-02-26T01:55:51Z,286700
B0B232HFC9,2024-02-25T16:44:10.700Z,US,2024-02-25T16:31:36.200Z,754500
B09HLCTYZ8,2024-02-26T08:31:40.700Z,US,2024-02-26T08:31:36.200Z,4500
B0B232HFC9,2024-02-25T23:33:41.200Z,US,2024-02-25T23:01:49.700Z,1911500
B09HLCTYZ8,2024-02-26T01:55:08.300Z,US,2024-02-26T01:36:43Z,1105300
B0B232HFC9,2024-02-25T17:51:53.100Z,US,2024-02-25T17:17:29.400Z,2063700
B09HLCTYZ8,2024-02-26T01:33:30.300Z,US,2024-02-26T01:07:06.700Z,1583600
B09HLCTYZ8,2024-02-26T04:13:23.100Z,US,2024-02-26T04:08:51.500Z,271600
B0B232HFC9,2024-02-25T17:02:33.600Z,US,2024-02-25T17:02:14.100Z,19500
B0B232HFC9,2024-02-25T18:10:45.600Z,US,2024-02-25T18:09:37.200Z,68400
B09X6KD3CS,2024-02-26T14:23:54.700Z,US,2024-02-26T14:17:56.200Z,358500
B0B232HFC9,2024-02-25T15:38:01Z,US,2024-02-25T15:37:11.500Z,49500
B09X6KD3CS,2024-02-26T14:40:40.600Z,US,2024-02-26T14:40:13.400Z,27200
B0B232HFC9,2024-02-25T22:34:25.500Z,US,2024-02-25T22:27:03.300Z,442200
B09HLCTYZ8,2024-02-26T00:56:41.800Z,US,2024-02-26T00:43:52.400Z,769400
B0B232HFC9,2024-02-25T22:54:25.800Z,US,2024-02-25T22:36:32.400Z,1073400
B09X6KD3CS,2024-02-26T23:31:33.200Z,US,2024-02-26T23:31:18.400Z,14800
B0BDW9C3JY,2024-02-27T12:39:23.400Z,US,2024-02-27T12:30:16Z,547400
B09X6KD3CS,2024-02-27T03:54:18.100Z,US,2024-02-27T03:38:46.900Z,931200
B09X6KD3CS,2024-02-26T18:52:12.300Z,US,2024-02-26T18:19:55.800Z,1936500
B09HLCTYZ8,2024-02-26T07:50:50.794Z,US,2024-02-26T07:50:50.794Z,0
B09X6KD3CS,2024-02-27T02:35:47.700Z,US,2024-02-27T02:33:47Z,120700
B09HLCTYZ8,2024-02-26T07:05:36.991Z,US,2024-02-26T07:05:36.991Z,0
B0BDW9C3JY,2024-02-27T12:49:31.300Z,US,2024-02-27T12:39:53.600Z,577700
B09X6KD3CS,2024-02-27T12:16:35.600Z,US,2024-02-27T12:16:23.400Z,12200
B09X6KD3CS,2024-02-27T02:49:38Z,US,2024-02-27T02:49:17.500Z,20500
B0BDW9C3JY,2024-02-27T12:26:58.900Z,US,2024-02-27T12:17:27.100Z,571800
B09X6KD3CS,2024-02-26T21:59:11.200Z,US,2024-02-26T21:54:38Z,273200
B09X6KD3CS,2024-02-27T12:17:09.400Z,US,2024-02-27T12:16:49.300Z,20100
B09X6KD3CS,2024-02-26T16:51:33.900Z,US,2024-02-26T16:32:32.100Z,1141800
B09X6KD3CS,2024-02-27T03:34:30.900Z,US,2024-02-27T02:50:58.500Z,2612400
B09X6KD3CS,2024-02-26T18:04:49.400Z,US,2024-02-26T17:45:07.900Z,1181500
B09X6KD3CS,2024-02-26T16:52:51.800Z,US,2024-02-26T16:52:44.300Z,7500
B09X6KD3CS,2024-02-26T23:55:25.694Z,US,2024-02-26T23:55:25.694Z,0
B09S1CMMBT,2024-02-27T06:28:10.800Z,US,2024-02-27T06:27:31.800Z,39000
B09X6KD3CS,2024-02-26T21:37:23.700Z,US,2024-02-26T21:21:42.600Z,941100
B0BDW9C3JY,2024-02-27T12:27:46.600Z,US,2024-02-27T12:27:45.200Z,1400
B09X6KD3CS,2024-02-26T20:03:36.100Z,US,2024-02-26T19:59:03Z,273100
B09X6KD3CS,2024-02-26T17:44:37.800Z,US,2024-02-26T17:31:01.400Z,816400
B09X6KD3CS,2024-02-26T21:47:53.200Z,US,2024-02-26T21:37:30.400Z,622800
B09X6KD3CS,2024-02-26T16:56:58.100Z,US,2024-02-26T16:56:42.900Z,15200
B09X6KD3CS,2024-02-26T23:36:40Z,US,2024-02-26T23:32:23Z,257000
B09X6KD3CS,2024-02-26T23:49:42.100Z,US,2024-02-26T23:38:08Z,694100
B09X6KD3CS,2024-02-26T19:58:51.100Z,US,2024-02-26T19:58:49.400Z,1700
B0BDW83LGQ,2024-02-27T12:15:47.800Z,US,2024-02-27T12:15:02.100Z,45700
B09X6KD3CS,2024-02-26T19:58:45.600Z,US,2024-02-26T19:55:33.400Z,192200
B09X6KD3CS,2024-02-27T12:14:00.100Z,US,2024-02-27T12:13:52.300Z,7800
B09X6KD3CS,2024-02-26T20:50:02Z,US,2024-02-26T20:47:46.900Z,135100
B09X6KD3CS,2024-02-27T02:48:50.200Z,US,2024-02-27T02:36:07.600Z,762600
B09X6KD3CS,2024-02-27T12:14:56Z,US,2024-02-27T12:14:48.200Z,7800
B09X6KD3CS,2024-02-27T12:17:22Z,US,2024-02-27T12:17:18.400Z,3600
B09X6KD3CS,2024-02-26T22:08:28.900Z,US,2024-02-26T22:00:15.200Z,493700
B09X6KD3CS,2024-02-26T18:52:07.129Z,US,2024-02-26T18:52:07.129Z,0
B09X6KD3CS,2024-02-26T18:19:40.500Z,US,2024-02-26T18:12:01.400Z,459100
B09X6KD3CS,2024-02-27T02:49:17.200Z,US,2024-02-27T02:49:14.800Z,2400
B09X6KD3CS,2024-02-27T02:50:58.100Z,US,2024-02-27T02:50:46.800Z,11300
B09X6KD3CS,2024-02-26T20:46:12.600Z,US,2024-02-26T20:09:03.800Z,2228800
B09X6KD3CS,2024-02-26T23:01:30.700Z,US,2024-02-26T22:47:44.900Z,825800
B0BDW9C3JY,2024-02-27T14:46:13.700Z,US,2024-02-27T14:45:13.600Z,60100
