created_timestamp,preferred_marketplace,country,device_family,ASIN,User Action,Context,Gesture
2024-03-01T09:22:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-04-02T01:27:18Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-02T10:58:37Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,exitBook,In-book,Tap
2024-03-31T12:47:22Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,exitBook,In-book,Tap
2024-04-15T00:46:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_LIBRARY,Tap
2024-04-06T01:47:49Z,www.amazon.com,US,Kindle E-reader,Not Available,Goto,In-book,Tap
2025-05-20T11:46:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Menu,KPP_HOME,Tap
2024-03-30T00:58:07Z,www.amazon.com,US,Kindle E-reader,Not Available,Back,KPP_SETTINGS,Tap
2024-04-11T03:24:55Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI,exitBook,In-book,Tap
2025-05-20T11:42:20Z,www.amazon.com,US,Kindle E-reader,Not Available,Close,KPP_SETTINGS,Tap
2024-04-07T02:38:03Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,exitBook,In-book,Tap
2025-05-20T11:44:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Home,KPP_LIBRARY,Tap
