created_timestamp,preferred_marketplace,device_family,card_name,card_position
2024-04-14T16:01:38Z,US,Kindle for iOS,Reading Insights,5
2024-02-26T07:51:09Z,US,Kindle for iOS,Based on your reading,4
2024-04-05T01:15:16Z,US,Kindle for iOS,,4
2024-03-23T02:34:58Z,US,Kindle for iOS,Page Turners just for you,7
2024-03-28T21:24:18Z,US,Kindle for iOS,,5
2024-03-29T21:53:52Z,US,Kindle for iOS,Reading Insights,4
2024-04-07T02:40:39Z,US,Kindle for iOS,,4
2024-03-12T01:45:53Z,US,Kindle for iOS,,2
2024-02-29T01:02:53Z,US,Kindle for iOS,,4
2024-03-23T02:32:50Z,US,Kindle for iOS,Reading Insights,4
2024-03-18T21:43:39Z,US,Kindle for iOS,More like your recent books,4
2024-03-16T14:41:48Z,US,Kindle for iOS,,2
2024-02-27T12:17:22Z,US,Kindle for iOS,Based on your reading,4
2024-04-05T13:46:16Z,US,Kindle for iOS,,4
2024-04-06T01:57:07Z,US,Kindle for iOS,,4
2024-03-22T12:40:09Z,US,Kindle for iOS,,6
2024-02-26T00:02:15Z,US,Kindle for iOS,Based on your reading,4
2024-04-11T00:54:05Z,US,Kindle for iOS,,2
2024-03-22T19:05:43Z,US,Kindle for iOS,,2
2024-03-04T00:45:20Z,US,Kindle for iOS,Reading Insights,4
2024-03-18T03:12:32Z,US,Kindle for iOS,More like your recent books,4
2024-03-07T04:50:45Z,US,Kindle for iOS,Reading Insights,4
2024-04-01T19:49:57Z,US,Kindle for iOS,,2
2024-04-11T14:07:07Z,US,Kindle for iOS,Reading Insights,4
2024-02-26T00:17:14Z,US,Kindle for iOS,Based on your reading,4
2024-03-31T12:56:25Z,US,Kindle for iOS,Reading Insights,4
2024-02-25T23:57:53Z,US,Kindle for iOS,Based on your reading,4
2024-02-29T16:23:10Z,US,Kindle for iOS,,2
2024-03-11T07:14:13Z,US,Kindle for iOS,,6
2024-04-14T03:58:36Z,US,Kindle for iOS,Based on your reading,4
2024-03-07T05:09:24Z,US,Kindle for iOS,,14
2024-03-21T04:12:42Z,US,Kindle for iOS,,2
2024-03-05T15:02:52Z,US,Kindle for iOS,More like [book title],5
2024-03-11T07:04:37Z,US,Kindle for iOS,,8
2024-03-07T05:09:25Z,US,Kindle for iOS,Books trending this month,15
2024-03-10T22:49:58Z,US,Kindle for iOS,Reading Insights,4
