ASIN,Annotation Type,Customer modified date on device,DSN,ContentType,Format,Creation Date,LastUpdatedDate,Highlight,Version,Selection Type,Note,Is Deleted
B00AXIZ5MC,kindle.last_read,2024-04-06T01:48:41Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-05T13:50:58Z,2024-04-06T01:48:41Z,,Not Available,Not Available,Not Available,FALSE
B00AXIZ5MC,kindle.most_recent_read,2024-04-06T01:48:41Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-05T13:50:58Z,2024-04-06T01:48:41Z,,Not Available,Not Available,Not Available,FALSE
B00AXIZ5MC,kindle.continuous_read,2024-04-06T01:48:41Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-05T13:50:58Z,2024-04-06T01:48:41Z,,Not Available,Not Available,Not Available,FALSE
B00BKK6E04,kindle.last_read,2024-04-06T16:50:51Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-06T04:16:35Z,2024-04-06T16:50:51Z,,Not Available,Not Available,Not Available,FALSE
B00BKK6E04,kindle.most_recent_read,2024-04-06T16:50:51Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-06T04:16:35Z,2024-04-06T16:50:51Z,,Not Available,Not Available,Not Available,FALSE
B00BKK6E04,kindle.continuous_read,2024-04-06T16:50:51Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-06T04:16:35Z,2024-04-06T16:50:51Z,,Not Available,Not Available,Not Available,FALSE
B00FO60CH6,kindle.highlight,2024-04-06T17:03:08Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-06T17:24:33Z,2024-04-06T17:24:33Z,,Not Available,Not Available,Not Available,FALSE
B00FO60CH6,kindle.last_read,2024-04-06T19:34:53Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-06T17:24:33Z,2024-04-06T19:35:00Z,,Not Available,Not Available,Not Available,FALSE
B00FO60CH6,kindle.most_recent_read,2024-04-06T19:44:48Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-06T17:24:33Z,2024-04-06T19:44:49Z,,Not Available,Not Available,Not Available,FALSE
B00FO60CH6,kindle.continuous_read,2024-04-06T19:44:48Z,64A32768C3794A7CA443A2368E83E905,EBOK,YJBinary,2024-04-06T17:24:33Z,2024-04-06T19:44:49Z,,Not Available,Not Available,Not Available,FALSE
B00H57X864,kindle.last_read,2024-04-06T22:22:02Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-06T20:00:18Z,2024-04-06T22:22:01Z,,Not Available,Not Available,Not Available,FALSE
B00H57X864,kindle.most_recent_read,2024-04-06T22:22:02Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-06T20:00:18Z,2024-04-06T22:22:01Z,,Not Available,Not Available,Not Available,FALSE
B00H57X864,kindle.continuous_read,2024-04-06T22:22:02Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-06T20:00:18Z,2024-04-06T22:22:01Z,,Not Available,Not Available,Not Available,FALSE
B00O6V45E6,kindle.last_read,2024-04-07T07:14:38Z,G8S1LG134041039L,EBOK,YJBinary,2024-04-06T23:25:13Z,2024-04-07T07:14:39Z,,Not Available,Not Available,Not Available,FALSE
