"Start Date","End Date","Event Duration Milliseconds","Start Position Milliseconds","End Position Milliseconds","Product Name","ASIN","Book Length Milliseconds","Delivery Type","Narration Speed","Bookmark","Audio Type","Asin Owned","Listening Mode","Store","App Version","Local Timezone"
"2025-10-04","2025-10-04","427567","10486934","10999517","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","648468","9709223","10486821","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","127399","9556834","9709213","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","420649","9052274","9556551","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","242269","8761924","9052146","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","861258","7726138","8759150","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","130720","7569689","7726053","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","237702","7284579","7569655","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","1499","7283334","7284375","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","217390","7022876","7283329","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","99072","6901782","7020163","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","34350","6860591","6901327","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","180779","6643542","6860026","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-04","2025-10-04","425690","6134591","6643277","August Lane (Unabridged)","B0DMCDS72D","39651881","Download","1.20","0","FullTitle","No","Online","Audible","7.42.2","America/Chicago"
"2025-10-03","2025-10-03","147250","65052","241652","August Lane (Unabridged)","B0DMCDS72D","300039","Streaming","1.20","0","Preview","No","Online","Audible","4.54","America/Chicago"
"2025-10-03","2025-10-03","1001","41706","42688","August Lane (Unabridged)","B0DMCDS72D","300039","Streaming","1.20","0","Preview","No","Online","Audible","4.54","America/Chicago"
"2025-10-03","2025-10-03","1116","37281","38420","August Lane (Unabridged)","B0DMCDS72D","300039","Streaming","1.20","0","Preview","No","Online","Audible","4.54","America/Chicago"
"2025-10-03","2025-10-03","2568","0","2725","August Lane (Unabridged)","B0DMCDS72D","300039","Streaming","1.20","0","Preview","No","Online","Audible","4.54","America/Chicago"
