Created Timestamp,Preferred Marketplace,Country,Device Family,ASIN
2024-04-06T17:03:09Z,www.amazon.com,US,Kindle E-reader,B00FO60CH6
2024-04-08T01:51:05Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0
2024-04-17T01:01:14Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-24T03:12:19Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T15:15:38Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-22T03:13:17Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P
2024-04-17T02:13:17Z,www.amazon.com,US,Kindle E-reader,B0CL1C4PM4
2024-04-23T03:43:54Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-30T06:25:05Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-31T00:24:11Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T01:36:17Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T21:56:01Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-02T01:27:27Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-30T01:05:28Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-17T01:25:17Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P
2024-04-20T21:21:14Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-04T23:38:35Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T01:43:18Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P
2023-12-01T12:17:19Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-02T03:49:43Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79
2024-03-31T13:11:56Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-10T01:43:00Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-08T22:50:40Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-30T05:39:28Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-11T00:55:34Z,www.amazon.com,US,Kindle E-reader,B01L7Q54NI
2024-04-17T01:30:40Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-30T01:44:54Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-07T03:09:19Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T22:27:24Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-08T15:30:41Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS
2024-03-30T00:52:21Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-17T01:25:37Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P
2024-04-20T15:17:37Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-15T23:48:21Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-06T22:48:42Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-30T00:52:45Z,www.amazon.com,US,Kindle E-reader,B0CYWDS6CT
2024-04-17T01:22:20Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-07T17:53:02Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-03-30T21:36:36Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-07T17:53:12Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-04T03:11:48Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-06T16:51:03Z,www.amazon.com,US,Kindle E-reader,Not Available
2024-04-20T01:48:33Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P
