created_timestamp,preferred_marketplace,country,device_family,ASIN,reading_action_display,entry_point,display_start,display_end,book_format
2024-03-03T07:26:16Z,US,Not Available,Kindle for iOS,B0BDW9C3JY,Before You Go BSE,Reach end of book,2024-03-03T07:26:10Z,2024-03-03T07:26:16Z,KFX
2024-03-03T07:26:31Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Before You Go BSE,Reach end of book,2024-03-03T07:26:27Z,2024-03-03T07:26:31Z,KFX
2024-03-09T03:35:06Z,US,Not Available,Kindle for iOS,B01D6TA9Y8,Before You Go BSE,Reach end of book,2024-03-09T03:34:15Z,2024-03-09T03:35:06Z,KFX
2024-03-25T15:24:11Z,US,Not Available,Kindle for iOS,B00W22ITCU,Before You Go BSE,Reach end of book,2024-03-25T15:24:02Z,2024-03-25T15:24:11Z,KFX
2024-03-18T03:03:04Z,US,Not Available,Kindle for iOS,B0CLT4QRQL,Before You Go BSE,Reach end of book,2024-03-18T03:03:02Z,2024-03-18T03:03:04Z,KFX
2024-02-26T08:33:03Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Before You Go BSE,Reach end of book,2024-02-26T08:33:00Z,2024-02-26T08:33:03Z,KFX
2024-03-04T06:19:27Z,US,Not Available,Kindle for iOS,B01MTZDCUN,Before You Go BSE,Reach end of book,2024-03-04T06:19:24Z,2024-03-04T06:19:27Z,KFX
2024-03-16T20:51:43Z,US,Not Available,Kindle for iOS,B01M04PNMH,Before You Go BSE,Reach end of book,2024-03-16T20:51:42Z,2024-03-16T20:51:43Z,KFX
2022-04-30T15:59:57Z,US,Not Available,Kindle for iOS,B00KVRDACW,About This Book BSE,Open the book,2022-04-30T15:59:44Z,2022-04-30T15:59:57Z,KFX
2024-03-13T19:40:47Z,US,Not Available,Kindle for iOS,B08266V1T2,Before You Go BSE,Reach end of book,2024-03-13T19:40:20Z,2024-03-13T19:40:47Z,KFX
2024-03-11T09:10:28Z,US,Not Available,Kindle for iOS,B0CL7GMPD4,Before You Go BSE,Reach end of book,2024-03-11T09:10:20Z,2024-03-11T09:10:28Z,KFX
2024-03-20T04:18:46Z,US,Not Available,Kindle for iOS,B008UCJ7KO,Before You Go BSE,Reach end of book,2024-03-20T04:18:34Z,2024-03-20T04:18:46Z,KFX
