created_timestamp,country,preferred_marketplace,device_family,active_ASIN,content_type,file_auto_marked_as_read
2024-02-25T23:33:26Z,Not Available,US,Kindle for iOS,B0B232HFC9,E-Book,B0B232HFC9
2024-03-13T13:42:50Z,Not Available,US,Kindle for iOS,B08266PLCC,E-Book,B08266PLCC
2024-03-11T10:28:51Z,Not Available,US,Kindle for iOS,Not Available,E-Book,B0CL7H4JD9
2021-06-30T02:35:52Z,Not Available,US,Kindle for iOS,B07DZLJF1C,E-Book,B07DZLJF1C
2024-03-22T01:12:26Z,Not Available,US,Kindle for iOS,B0183KJZE0,E-Book,B0183KJZE0
2024-03-06T04:53:37Z,Not Available,US,Kindle for iOS,B07C7N5CBS,E-Book,B07C7N5CBS
2024-02-24T08:46:30Z,Not Available,US,Kindle for iOS,B0CB1RMZRC,E-Book,B0CB1RMZRC
2024-03-19T05:35:58Z,Not Available,US,Kindle for iOS,B008673ZAQ,E-Book,B008673ZAQ
2024-03-26T03:57:59Z,Not Available,US,Kindle for iOS,B07Y82JMF8,E-Book,B07Y82JMF8
2024-02-28T19:53:24Z,Not Available,US,Kindle for iOS,B0BDW83LGQ,E-Book,B0BDW83LGQ
2024-04-01T19:08:41Z,Not Available,US,Kindle for iOS,B09Z7BYZS3,E-Book,B09Z7BYZS3
2024-03-18T21:27:24Z,Not Available,US,Kindle for iOS,B00846REIS,E-Book,B00846REIS
2024-03-16T14:40:44Z,Not Available,US,Kindle for iOS,B01BU2NFTO,E-Book,B01BU2NFTO
2024-02-27T06:09:26Z,Not Available,US,Kindle for iOS,B09X6KD3CS,E-Book,B09X6KD3CS
2024-03-16T01:03:28Z,Not Available,US,Kindle for iOS,B07XQK3SGQ,E-Book,B07XQK3SGQ
2024-03-25T15:23:51Z,Not Available,US,Kindle for iOS,B00W22ITCU,E-Book,B00W22ITCU
2024-03-09T06:00:53Z,Not Available,US,Kindle for iOS,B071NRXLXB,E-Book,B071NRXLXB
2024-03-02T05:45:08Z,Not Available,US,Kindle for iOS,B0994RZ2L1,E-Book,B0994RZ2L1
2024-03-27T00:29:01Z,Not Available,US,Kindle for iOS,B0BCZWC3QZ,E-Book,B0BCZWC3QZ
2024-03-04T06:19:23Z,Not Available,US,Kindle for iOS,B01MTZDCUN,E-Book,B01MTZDCUN
2024-03-01T08:38:00Z,Not Available,US,Kindle for iOS,B091SLLP6H,E-Book,B091SLLP6H
2024-03-12T06:05:21Z,Not Available,US,Kindle for iOS,B09P5GT746,E-Book,B09P5GT746
2024-03-05T01:01:12Z,Not Available,US,Kindle for iOS,B09NJBVM8Z,E-Book,B09NJBVM8Z
2024-03-18T03:02:35Z,Not Available,US,Kindle for iOS,B0CLT4QRQL,E-Book,B0CLT4QRQL
2024-04-09T18:40:07Z,Not Available,US,Kindle for iOS,B00H57X864,E-Book,B00H57X864
2024-02-26T07:50:50Z,Not Available,US,Kindle for iOS,B09HLCTYZ8,E-Book,B09HLCTYZ8
