created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2024-04-08T22:50:17Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,exiting lock screen,Kindle Special Offers not enabled
2024-04-21T23:56:12Z,www.amazon.com,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T02:04:43Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T00:44:45Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T01:47:14Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-31T05:03:09Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-31T02:06:36Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T23:41:50Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T20:02:54Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,exiting lock screen,Kindle Special Offers not enabled
2024-04-17T01:29:42Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-16T01:08:36Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-13T16:19:05Z,www.amazon.com,US,Kindle E-reader,B0778CV9Y4,exiting lock screen,Kindle Special Offers not enabled
2024-04-09T00:04:30Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-03-30T21:46:51Z,www.amazon.com,US,Kindle E-reader,B09Z7BYZS3,transition to screen saver,Kindle Special Offers not enabled
2024-04-21T20:56:32Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T14:06:10Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T20:20:59Z,www.amazon.com,US,Kindle E-reader,B00FO60CH6,exiting lock screen,Kindle Special Offers not enabled
2024-04-04T23:38:12Z,www.amazon.com,US,Kindle E-reader,B0BJJTTM8K,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-23T04:57:06Z,www.amazon.com,US,Kindle E-reader,B09X6HZ4FT,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T20:20:59Z,www.amazon.com,US,Kindle E-reader,B00FO60CH6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T16:22:54Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-22T02:54:19Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,exiting lock screen,Kindle Special Offers not enabled
2024-04-09T02:14:16Z,www.amazon.com,US,Kindle E-reader,B00QE1DLIC,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T00:44:28Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-16T03:52:53Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T11:59:11Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T17:52:21Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-22T04:13:45Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,exiting lock screen,Kindle Special Offers not enabled
2024-04-22T03:11:38Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-17T01:25:59Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P,transition to screen saver,Kindle Special Offers not enabled
2024-04-21T23:04:09Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-16T02:07:06Z,www.amazon.com,US,Kindle E-reader,B07G5FTPGY,exiting lock screen,Kindle Special Offers not enabled
2024-04-22T00:26:20Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-30T00:54:43Z,www.amazon.com,US,Kindle E-reader,B0CYWDS6CT,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T01:30:24Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,exiting lock screen,Kindle Special Offers not enabled
2024-07-18T18:25:42Z,www.amazon.com,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-22T00:36:50Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T16:22:55Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,exiting lock screen,Kindle Special Offers not enabled
2024-04-22T03:34:18Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,transition to screen saver,Kindle Special Offers not enabled
2024-04-20T22:04:04Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-07-20T16:27:53Z,www.amazon.com,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
