created_timestamp,search_string_length,preferred_marketplace,app_tab,country,outcome,device_family,store_results_shown,ASIN,library_results_shown,store_result_position,library_result_position,search_id
2025-03-02T01:46:27Z,21,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,95FB4D66-00A0-4402-8C5A-F4C62BBF1734
2024-07-09T21:25:22Z,20,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,166A544F-D099-4511-83BA-AEC20F6A34B1
2025-05-18T21:53:45Z,11,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,2,No Results Selected,E47FBC71-E747-484B-B3A6-34146CCF97F5
2025-03-21T22:46:58Z,15,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,F7BD7C62-3138-4F9C-ADE8-15074D31798C
2025-05-17T01:07:30Z,24,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,No Results Selected,No Results Selected,07FFFC5D-029F-4561-8823-C978FE53E2A2
2024-10-23T22:32:12Z,8,www.amazon.com,Home,,ClearResults,Kindle for iOS,yes,,No,2,No Results Selected,F32811E4-915D-4C8F-88B5-C632F3272C44
2024-08-02T14:23:59Z,0,www.amazon.com,Home,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,ACA27B5E-368D-4BF0-B7DE-DC067803DF25
2025-06-26T00:55:31Z,0,www.amazon.com,More,,SearchSuggestionClicked,Kindle for iOS,No,,No,No Results Selected,No Results Selected,1D6B4406-462C-482A-A661-63D5EA83DB47
2025-05-31T18:14:39Z,22,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,7106C3B5-6AB2-4155-B64A-EFE4F40B5CB7
2024-04-11T06:14:22Z,9,www.amazon.com,More,,ExitSearch,Kindle for iOS,yes,,No,1,No Results Selected,6A22E7D1-0F18-42B6-BA62-3AA04B281728
2025-05-18T15:03:46Z,11,www.amazon.com,Home,,StorePageOpen,Kindle for iOS,yes,,No,1,No Results Selected,D49BF6A0-0746-4564-AD00-9A43D5FE535B
2025-08-23T20:08:03Z,11,www.amazon.com,Home,,ExitSearch,Kindle for iOS,yes,,Yes,No Results Selected,1,44DF9A7C-9B59-4F4D-A74C-5473718AEAC0
