ASIN,country,created_timestamp,preferred_marketplace,device_family,item_clicked_on_ASIN,card_position,item_position_within_card,action,action_type,action_source,kindle_app_version
Not Available,,2024-02-25T23:57:56Z,US,Kindle for iOS,,5,1,STREAK_CALENDAR,click,WEBVIEW_1,1191412106
Not Available,,2024-03-25T08:31:10Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412490
Not Available,,2024-03-11T06:53:14Z,US,Kindle for iOS,,1,4,STORE,tap,BROWSE_OPTIONS_LIST_ZONE.3,1191412234
Not Available,,2024-03-22T12:40:05Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412234
Not Available,,2024-02-26T00:13:18Z,US,Kindle for iOS,,5,1,WEB,tap,WEBVIEW_1,1191412106
Not Available,,2024-03-11T06:53:48Z,US,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191412234
Not Available,,2024-03-11T20:53:07Z,US,Kindle for iOS,,1,1,STORE,tap,BROWSE_OPTIONS_LIST_ZONE.0,1191412234
Not Available,,2024-04-15T00:29:23Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-04-11T06:15:17Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-02-26T00:16:58Z,US,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412106
Not Available,,2024-03-29T20:56:37Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-03-11T07:04:01Z,US,Kindle for iOS,,9,1,STORE,tap,BUTTON_1,1191412234
Not Available,,2024-03-29T02:55:09Z,US,Kindle for iOS,,16,1,swipe,CATEGORY_SCROLL,WEBVIEW_1,1191412490
Not Available,,2024-03-30T00:38:32Z,US,Kindle for iOS,B07H3CX9JR,9,22,QUICKVIEW,tap,BOOK_ENTITY_LIST.21,1191412490
Not Available,,2024-03-05T15:04:18Z,US,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191412234
Not Available,,2024-03-23T02:35:07Z,US,Kindle for iOS,,5,1,STORE,tap,BUTTON_1,1191412234
Not Available,,2024-03-25T15:29:42Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412490
Not Available,,2024-03-28T02:38:01Z,US,Kindle for iOS,,1,1,STORE,tap,BROWSE_OPTIONS_LIST_ZONE.0,1191412490
Not Available,,2024-04-06T19:59:46Z,US,Kindle for iOS,,5,1,WEB,tap,WEBVIEW_1,1191412618
Not Available,,2024-04-11T06:15:22Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412746
Not Available,,2024-03-03T07:30:07Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412234
Not Available,,2024-03-11T07:00:23Z,US,Kindle for iOS,B0CFD3FF6N,7,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191412234
Not Available,,2024-02-26T00:16:57Z,US,Kindle for iOS,,6,1,CATEGORY,click,WEBVIEW_1,1191412106
Not Available,,2024-04-04T19:45:13Z,US,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191412618
Not Available,,2024-02-27T12:13:33Z,US,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412106
Not Available,,2024-03-16T14:41:30Z,US,Kindle for iOS,,1,3,FEED_CHANGE,tap,BROWSE_OPTIONS_LIST_ZONE.2,1191412234
Not Available,,2024-03-11T07:04:43Z,US,Kindle for iOS,B09P5GT746,10,4,QUICKVIEW,tap,BOOK_ENTITY_LIST.3,1191412234
Not Available,,2024-04-06T19:59:44Z,US,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412618
Not Available,,2024-03-14T20:51:05Z,US,Kindle for iOS,,5,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412234
Not Available,,2024-04-11T14:07:14Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,swipe,WEBVIEW_1,1191412746
Not Available,,2024-03-28T21:23:00Z,US,Kindle for iOS,,4,1,STREAK_CALENDAR,click,WEBVIEW_1,1191412490
Not Available,,2024-03-05T15:03:17Z,US,Kindle for iOS,B093DQNY17,10,1,QUICKVIEW,tap,BOOK_ENTITY_LIST.0,1191412234
Not Available,,2024-03-10T18:52:01Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412234
Not Available,,2024-03-16T01:31:20Z,US,Kindle for iOS,B08QDDC1Q9,4,8,QUICKVIEW,tap,BOOK_ENTITY_LIST.7,1191412234
Not Available,,2024-04-11T14:07:16Z,US,Kindle for iOS,,4,1,WEB,tap,WEBVIEW_1,1191412746
