created_timestamp,preferred_marketplace,country,device_family,ASIN,Selection highlight menu action,selection,audio_enabled
2025-09-02T01:33:01Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Open selection highlight menu,24,false
2025-07-17T04:37:22Z,www.amazon.com,,Kindle for iOS,B0B9TBGC5X,Open selection highlight menu,1,false
2025-08-29T13:44:15Z,www.amazon.com,,Kindle for iOS,B0C3C7G6HN,Open selection highlight menu,10,false
2025-09-17T03:54:30Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,21,false
2025-09-10T01:53:33Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Open selection highlight menu,27,false
2025-09-13T01:55:23Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Dismiss,21,false
2025-07-22T01:57:03Z,www.amazon.com,,Kindle for iOS,B0CJDPTB3V,Remove highlight,35,false
2025-08-27T00:59:20Z,www.amazon.com,,Kindle for iOS,B003VPWY64,Open selection highlight menu,26,false
2025-09-21T20:54:31Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Open selection highlight menu,28,false
2025-09-13T21:21:17Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Dismiss,29,false
2025-07-18T04:10:05Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Open selection highlight menu,34,false
2025-09-09T23:30:47Z,www.amazon.com,,Kindle for iOS,B0C6NNZSVQ,Open selection highlight menu,26,false
2025-07-27T05:34:22Z,www.amazon.com,,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,Open selection highlight menu,1,false
2025-08-08T19:47:41Z,www.amazon.com,,Kindle for iOS,B0D9CC3C9Y,Remove highlight,8,false
2025-10-02T02:05:46Z,www.amazon.com,,Kindle for iOS,B0CFDCMPVC,Remove highlight,32,false
2025-08-21T02:26:00Z,www.amazon.com,,Kindle for iOS,B07DMZ5YR9,Open selection highlight menu,1,false
2025-09-07T03:44:05Z,www.amazon.com,,Kindle for iOS,5DE54701F9AB457893A2E196F7E4F894,Dismiss,1,false
2025-09-07T06:20:41Z,www.amazon.com,,Kindle for iOS,5DE54701F9AB457893A2E196F7E4F894,Dismiss,38,false
2025-09-21T20:36:06Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Open selection highlight menu,40,false
2025-07-17T13:00:01Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Remove highlight,23,false
2025-08-25T00:48:11Z,www.amazon.com,,Kindle for iOS,B004CLYLCG,Dismiss,1,false
2025-09-04T13:03:33Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Dismiss,8,false
2025-09-26T22:07:07Z,www.amazon.com,,Kindle for iOS,B08LDYBGJD,Open selection highlight menu,1,false
2025-09-22T09:42:37Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Dismiss,17,false
2025-09-05T13:26:49Z,www.amazon.com,,Kindle for iOS,B0C6NMBN7H,Open selection highlight menu,1,false
2025-09-16T01:17:56Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Open selection highlight menu,1,false
2025-09-16T01:17:32Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Open selection highlight menu,15,false
2025-09-29T02:49:18Z,www.amazon.com,,Kindle for iOS,B09QD52KWF,Dismiss,29,false
2025-07-18T04:49:26Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Open selection highlight menu,35,false
2025-07-17T00:45:19Z,www.amazon.com,,Kindle for iOS,B0B9TBGC5X,Remove highlight,15,false
2025-09-16T12:16:36Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Dismiss,1,false
2025-09-21T19:19:43Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Open selection highlight menu,131,false
2025-09-19T20:46:03Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Dismiss,31,false
2025-09-22T02:45:15Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Open selection highlight menu,32,false
2025-09-19T23:36:53Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,5,false
2025-07-18T22:47:26Z,www.amazon.com,,Kindle for iOS,B0BT9W3ZS2,Open selection highlight menu,1,false
2025-09-02T02:56:36Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Open selection highlight menu,35,false
2025-08-25T19:57:44Z,www.amazon.com,,Kindle for iOS,B004CLYLCG,Remove highlight,2,false
2025-08-26T22:34:33Z,www.amazon.com,,Kindle for iOS,B003VPWY64,Dismiss,26,false
2025-09-19T12:29:27Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Open selection highlight menu,1,false
2025-09-02T18:02:51Z,www.amazon.com,,Kindle for iOS,B0C6NBLBL2,Remove highlight,2,false
2025-08-31T03:48:20Z,www.amazon.com,,Kindle for iOS,B0DB2L4TWY,Dismiss,8,false
2025-08-30T17:58:34Z,www.amazon.com,,Kindle for iOS,B0DB2L4TWY,Dismiss,1,false
2025-09-16T00:15:31Z,www.amazon.com,,Kindle for iOS,B0CWPBWTCY,Open selection highlight menu,8,false
2025-08-29T20:43:03Z,www.amazon.com,,Kindle for iOS,B0C3C7G6HN,Open selection highlight menu,19,false
2025-09-07T03:25:09Z,www.amazon.com,,Kindle for iOS,5DE54701F9AB457893A2E196F7E4F894,Dismiss,15,false
2025-08-18T02:53:46Z,www.amazon.com,,Kindle for iOS,B0CQKGZL6K,Remove highlight,17,false
2025-07-17T23:40:09Z,www.amazon.com,,Kindle for iOS,B0BHN8JB7C,Remove highlight,19,false
2025-07-23T03:12:30Z,www.amazon.com,,Kindle for iOS,B0CTXVHQW6,Dismiss,23,false
2025-07-27T07:48:55Z,www.amazon.com,,Kindle for iOS,F9E1D97B26F64086B915F88D6A59002F,Dismiss,1,false
