created_timestamp,preferred_marketplace,country,device_family,ASIN,prev_state,curr_state
2024-04-08T01:44:45Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-05-10T08:37:11Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-10T08:33:14Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T15:36:16Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,SCREEN SAVER,ACTIVE
2024-04-07T01:47:14Z,www.amazon.com,US,Kindle E-reader,B00O6V45E6,SCREEN SAVER,ACTIVE
2024-04-17T01:29:42Z,www.amazon.com,US,Kindle E-reader,B09HJDSQ5P,SCREEN SAVER,ACTIVE
2024-04-20T02:22:48Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-22T02:51:05Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T16:20:15Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,ACTIVE,SCREEN SAVER
2024-05-02T08:37:25Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-04T03:11:14Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-20T17:54:41Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,ACTIVE,SCREEN SAVER
2024-04-08T23:15:10Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-05-07T08:38:17Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,SCREEN SAVER,ACTIVE
2024-04-22T00:26:20Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,SCREEN SAVER,ACTIVE
2024-04-07T01:11:53Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-09T05:36:05Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-03-31T14:43:49Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-03-30T07:16:21Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-07T20:17:50Z,www.amazon.com,US,Kindle E-reader,B00N6PD7L0,ACTIVE,SCREEN SAVER
2024-04-07T03:08:01Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-15T00:56:05Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-14T02:53:14Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-07T03:08:02Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T19:25:05Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-02T11:02:44Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-05-08T08:35:53Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-14T02:52:19Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-22T03:53:34Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,SCREEN SAVER,ACTIVE
2024-04-08T21:35:49Z,www.amazon.com,US,Kindle E-reader,B00O6V45CS,ACTIVE,SCREEN SAVER
2024-05-14T08:35:51Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-05-04T08:33:11Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T02:04:41Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-03-31T03:58:39Z,www.amazon.com,US,Kindle E-reader,B07ZFZZ2GQ,ACTIVE,SCREEN SAVER
2024-04-20T18:03:57Z,www.amazon.com,US,Kindle E-reader,B09CNFRZDC,ACTIVE,SCREEN SAVER
2024-04-06T08:32:15Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-03-31T13:11:52Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-17T00:59:32Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-07-18T18:28:26Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-20T18:05:49Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-20T21:25:16Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-12T08:33:15Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-03-31T08:32:14Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-21T02:52:08Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T10:54:12Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-05-07T08:35:04Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-07-18T18:05:20Z,www.amazon.com,US,Kindle E-reader,B09X4PVC6F,ACTIVE,SCREEN SAVER
2024-04-05T00:19:39Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-07-17T15:41:28Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-16T08:33:14Z,www.amazon.com,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-06T22:36:56Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-25T08:36:24Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-05-19T08:38:36Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-04T03:55:04Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-02T09:48:10Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-05-20T08:32:17Z,www.amazon.com,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-07T02:54:38Z,www.amazon.com,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
