Creation Date,Amazon Marketplace,ASIN,Product Name,Browse Node,StoreUrl,Device Serial Number,Device Platform,Display Status
2025-07-25T20:07:04Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/firstreads,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-25T17:58:00Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd3?ref=kr_krb_dpd,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-25T17:39:00Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/firstreads,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-25T16:37:58Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd3?ref=kr_krb_dpd,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-23T17:50:55Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/b?ie=UTF8&node=17276797011&ref_=botmpn_july25litfic,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-23T17:47:20Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/b?ie=UTF8&node=17276797011&ref_=botmpn_july25litfic,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-22T19:51:05Z,www.amazon.com,B0DKHD43RY,"Rush Week: A Scandalous Novel of Sorority Sisters, Dark Secrets, and Unforgettable Drama Inspired by the #BamaRushTok Phenomenon—Perfect for Summer Reading","""Not Applicable""","""Not Applicable""",64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-22T19:51:05Z,www.amazon.com,B0DKHD43RY,"Rush Week: A Scandalous Novel of Sorority Sisters, Dark Secrets, and Unforgettable Drama Inspired by the #BamaRushTok Phenomenon—Perfect for Summer Reading (English Edition)","""Not Applicable""","""Not Applicable""",64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-22T19:51:05Z,www.amazon.com,B0DKHD43RY,"Rush Week: A Scandalous Novel of Sorority Sisters, Dark Secrets, and Unforgettable Drama Inspired by the #BamaRushTok Phenomenon—Perfect for Summer Reading","""Not Applicable""","""Not Applicable""",64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-22T19:46:36Z,www.amazon.com,B0DKHD43RY,"Rush Week: A Scandalous Novel of Sorority Sisters, Dark Secrets, and Unforgettable Drama Inspired by the #BamaRushTok Phenomenon—Perfect for Summer Reading","""Not Applicable""","""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-22T19:46:36Z,www.amazon.com,B0DKHD43RY,"Rush Week: A Scandalous Novel of Sorority Sisters, Dark Secrets, and Unforgettable Drama Inspired by the #BamaRushTok Phenomenon—Perfect for Summer Reading (English Edition)","""Not Applicable""","""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-22T19:46:36Z,www.amazon.com,B0DKHD43RY,"Rush Week: A Scandalous Novel of Sorority Sisters, Dark Secrets, and Unforgettable Drama Inspired by the #BamaRushTok Phenomenon—Perfect for Summer Reading","""Not Applicable""","""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-22T19:00:58Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",http://www.amazon.com/kindle-dbs/search?ie=UTF8&node=17738821011,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-22T18:54:38Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",http://www.amazon.com/kindle-dbs/search?ie=UTF8&node=17738821011,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-22T18:45:28Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B0CQ2ZL694%7CB07NF2BDFZ%7CB0DC66QD8K%7CB0DCG9WG3H%7CB09PSMSYJY%7CB0DC9FH6K5%7CB0DJQCK4N5%7CB08LDYBGJD%7CB07NYF37JC%7CB085S5Z4GW%7CB09HTD8KQD%7CB079WVLH27%7CB0CKSJR237%7CB0DTC843VL%7CB086N3KSRQ&pd_rd_w=DZWGA&content-id=amzn1.sym.433c4684-d0db-4d94-a8a4-803f8e468a24&pf_rd_p=433c4684-d0db-4d94-a8a4-803f8e468a24&pd_rd_wg=ayp7Q&pd_rd_r=781f5682-0ec5-497d-86dd-fa3b9edc78f3,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-22T17:50:49Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B0CQ2ZL694%7CB07NF2BDFZ%7CB0DC66QD8K%7CB0DCG9WG3H%7CB09PSMSYJY%7CB0DC9FH6K5%7CB0DJQCK4N5%7CB08LDYBGJD%7CB07NYF37JC%7CB085S5Z4GW%7CB09HTD8KQD%7CB079WVLH27%7CB0CKSJR237%7CB0DTC843VL%7CB086N3KSRQ&pd_rd_w=DZWGA&content-id=amzn1.sym.433c4684-d0db-4d94-a8a4-803f8e468a24&pf_rd_p=433c4684-d0db-4d94-a8a4-803f8e468a24&pd_rd_wg=ayp7Q&pd_rd_r=781f5682-0ec5-497d-86dd-fa3b9edc78f3,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-22T15:08:33Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/annual,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-22T15:06:35Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/annual,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-21T19:40:03Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B0CQ2ZL694%7CB07NF2BDFZ%7CB0DC66QD8K%7CB0DCG9WG3H%7CB0DJQCK4N5%7CB0DC9FH6K5%7CB08LDYBGJD%7CB07NYF37JC%7CB085S5Z4GW%7CB09HTD8KQD%7CB0CKSJR237%7CB079WVLH27%7CB0DTC843VL%7CB0DKW527GX%7CB09PSMSYJY&pd_rd_w=oJYrM&content-id=amzn1.sym.433c4684-d0db-4d94-a8a4-803f8e468a24&pf_rd_p=433c4684-d0db-4d94-a8a4-803f8e468a24&pd_rd_wg=Y5lXP&pd_rd_r=c7555212-45fe-457d-877b-64a589280a07,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-21T19:25:02Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B0CQ2ZL694%7CB07NF2BDFZ%7CB0DC66QD8K%7CB0DCG9WG3H%7CB0DJQCK4N5%7CB0DC9FH6K5%7CB08LDYBGJD%7CB07NYF37JC%7CB085S5Z4GW%7CB09HTD8KQD%7CB0CKSJR237%7CB079WVLH27%7CB0DTC843VL%7CB0DKW527GX%7CB09PSMSYJY&pd_rd_w=oJYrM&content-id=amzn1.sym.433c4684-d0db-4d94-a8a4-803f8e468a24&pf_rd_p=433c4684-d0db-4d94-a8a4-803f8e468a24&pd_rd_wg=Y5lXP&pd_rd_r=c7555212-45fe-457d-877b-64a589280a07,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-20T19:12:49Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B0CQ2ZL694%7CB07NF2BDFZ%7CB0DC66QD8K%7CB0DCG9WG3H%7CB0DJQCK4N5%7CB0DC9FH6K5%7CB08LDYBGJD%7CB085S5Z4GW%7CB09HTD8KQD%7CB07NYF37JC%7CB0CKSJR237%7CB0DTC843VL%7CB079WVLH27%7CB0DKW527GX%7CB09PSMSYJY&pd_rd_w=b1lqV&content-id=amzn1.sym.433c4684-d0db-4d94-a8a4-803f8e468a24&pf_rd_p=433c4684-d0db-4d94-a8a4-803f8e468a24&pd_rd_wg=rjFcJ&pd_rd_r=bb2692b7-9a7c-46f1-834c-0936089f9878,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-20T18:58:41Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B0CQ2ZL694%7CB07NF2BDFZ%7CB0DC66QD8K%7CB0DCG9WG3H%7CB0DJQCK4N5%7CB0DC9FH6K5%7CB08LDYBGJD%7CB085S5Z4GW%7CB09HTD8KQD%7CB07NYF37JC%7CB0CKSJR237%7CB0DTC843VL%7CB079WVLH27%7CB0DKW527GX%7CB09PSMSYJY&pd_rd_w=b1lqV&content-id=amzn1.sym.433c4684-d0db-4d94-a8a4-803f8e468a24&pf_rd_p=433c4684-d0db-4d94-a8a4-803f8e468a24&pd_rd_wg=rjFcJ&pd_rd_r=bb2692b7-9a7c-46f1-834c-0936089f9878,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-19T18:18:16Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B0C4GRKJTF%7CB0DC66QD8K%7CB0CQ2ZL694%7CB07NF2BDFZ%7CB0DJQCK4N5%7CB0DCG9WG3H%7CB0DC9FH6K5%7CB08LDYBGJD%7CB085S5Z4GW%7CB09HTD8KQD%7CB0CKSJR237%7CB0DTC843VL%7CB0DKW527GX%7CB079WVLH27%7CB07NYF37JC&pd_rd_w=H7X3T&content-id=amzn1.sym.433c4684-d0db-4d94-a8a4-803f8e468a24&pf_rd_p=433c4684-d0db-4d94-a8a4-803f8e468a24&pd_rd_wg=zAUey&pd_rd_r=3bbab853-9713-499b-babb-4e5f79255bd6,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-19T17:49:58Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindle-dbs/search/?k=B0C4GRKJTF%7CB0DC66QD8K%7CB0CQ2ZL694%7CB07NF2BDFZ%7CB0DJQCK4N5%7CB0DCG9WG3H%7CB0DC9FH6K5%7CB08LDYBGJD%7CB085S5Z4GW%7CB09HTD8KQD%7CB0CKSJR237%7CB0DTC843VL%7CB0DKW527GX%7CB079WVLH27%7CB07NYF37JC&pd_rd_w=H7X3T&content-id=amzn1.sym.433c4684-d0db-4d94-a8a4-803f8e468a24&pf_rd_p=433c4684-d0db-4d94-a8a4-803f8e468a24&pd_rd_wg=zAUey&pd_rd_r=3bbab853-9713-499b-babb-4e5f79255bd6,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-19T15:38:47Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd2?ref=kr_krb_dpd_lcp,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
2025-07-19T15:15:12Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd2?ref=kr_krb_dpd_lcp,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-18T17:01:48Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd2?ref=kr_krb_dpd,DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Push Notification Sent"""
2025-07-18T16:11:19Z,www.amazon.com,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd2?ref=kr_krb_dpd,64A32768C3794A7CA443A2368E83E905,"""IOS""","""Push Notification Sent"""
