created_timestamp,ASIN,customer_context,action,highlight_color,is_starred,show_options_after_highlighting,number_of_words_in_highlight,device_family,country,preferred_marketplace
2024-03-26T14:07:40Z,B0BCZWC3QZ,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-28T14:00:10Z,B0CYWDS6CT,QuickHighlight,AddHighlight,Not Available,No,Off,4,Kindle for iOS,Not Available,US
2024-02-26T04:34:24Z,B09HLCTYZ8,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,2,Kindle for iOS,Not Available,US
2024-03-28T13:26:11Z,B0CYWDS6CT,QuickHighlight,AddHighlight,Not Available,No,Off,16,Kindle for iOS,Not Available,US
2024-02-25T23:05:46Z,B0B232HFC9,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-28T00:02:07Z,B0BC16PP4Z,QuickHighlight,AddHighlight,Not Available,No,Off,24,Kindle for iOS,Not Available,US
2024-03-08T03:27:06Z,B083TZV25B,QuickHighlight,AddHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-07T12:24:22Z,B083TZV25B,QuickHighlight,AddHighlight,Not Available,No,Off,6,Kindle for iOS,Not Available,US
2024-02-24T18:15:50Z,B08K62VYDJ,QuickHighlight,AddHighlight,Not Available,No,Off,4,Kindle for iOS,Not Available,US
2024-03-27T18:25:10Z,B09ZKRWCG4,QuickHighlight,AddHighlight,Not Available,No,Off,14,Kindle for iOS,Not Available,US
2024-02-26T06:28:20Z,B09HLCTYZ8,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-07T17:49:50Z,B083TZV25B,QuickHighlight,AddHighlight,Not Available,No,Off,2,Kindle for iOS,Not Available,US
2024-03-02T15:00:13Z,B09QY2KWKY,SelectedTextMenu,AddHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-25T07:11:05Z,B00V3MY186,QuickHighlight,AddHighlight,Not Available,No,Off,14,Kindle for iOS,Not Available,US
2024-02-24T14:58:36Z,B08K62VYDJ,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-02T15:00:42Z,B09QY2KWKY,SelectedTextMenu,ChangeColorOfHighlight,pink,,Off,,Kindle for iOS,Not Available,US
2024-03-01T05:08:45Z,B091SLLP6H,QuickHighlight,AddHighlight,Not Available,No,Off,7,Kindle for iOS,Not Available,US
2024-03-04T03:15:53Z,B01MYYEYWP,QuickHighlight,AddHighlight,Not Available,No,Off,3,Kindle for iOS,Not Available,US
2024-03-03T05:01:40Z,B09QY2KWKY,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-03T05:43:56Z,B09QY2KWKY,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-24T03:51:33Z,B0CB1RMZRC,QuickHighlight,AddHighlight,Not Available,No,Off,4,Kindle for iOS,Not Available,US
2024-02-24T23:49:24Z,B09S1CMMBT,QuickHighlight,AddHighlight,Not Available,No,Off,2,Kindle for iOS,Not Available,US
2024-03-02T22:08:42Z,B09QY2KWKY,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-19T04:51:18Z,B008673ZAQ,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-04-05T21:32:37Z,B00AXIZ5MC,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-09T03:32:31Z,B01D6TA9Y8,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-04T08:39:36Z,B01N7GREG9,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-18T20:33:04Z,B00846REIS,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-04-05T17:01:42Z,B00AXIZ5MC,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-06T01:04:00Z,B07C7N5CBS,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-05T14:47:44Z,B07QNKVR3N,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-28T13:19:42Z,B0CYWDS6CT,QuickHighlight,AddHighlight,Not Available,No,Off,9,Kindle for iOS,Not Available,US
2024-03-17T17:45:52Z,B0757CRTLY,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-14T03:32:49Z,B0C7QYS91W,QuickHighlight,AddHighlight,Not Available,No,Off,9,Kindle for iOS,Not Available,US
2024-03-01T17:59:53Z,B0994RZ2L1,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-01T07:23:06Z,B091SLLP6H,QuickHighlight,AddHighlight,Not Available,No,Off,15,Kindle for iOS,Not Available,US
2024-03-13T12:53:22Z,B08266PLCC,QuickHighlight,AddHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-20T00:05:34Z,B008UCJ7KO,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-27T06:07:56Z,B09X6KD3CS,QuickHighlight,AddHighlight,Not Available,No,Off,8,Kindle for iOS,Not Available,US
2024-03-22T09:42:42Z,B0B1KVSRCL,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-03-28T18:13:28Z,B0CYWDS6CT,QuickHighlight,AddHighlight,Not Available,No,Off,9,Kindle for iOS,Not Available,US
2024-04-03T21:47:09Z,B0BJJTTM8K,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-26T01:54:40Z,B09HLCTYZ8,QuickHighlight,AddHighlight,Not Available,No,Off,20,Kindle for iOS,Not Available,US
2024-03-05T18:27:18Z,B07C7N5CBS,QuickHighlight,EditHighlight,Not Available,No,Off,16,Kindle for iOS,Not Available,US
2024-03-27T07:47:02Z,B08X472VK3,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-04-04T02:31:20Z,B0BJJTTM8K,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-04-05T20:47:58Z,B00AXIZ5MC,QuickHighlight,AddHighlight,Not Available,No,Off,8,Kindle for iOS,Not Available,US
2024-02-26T02:52:49Z,B09HLCTYZ8,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-26T01:32:44Z,B09HLCTYZ8,QuickHighlight,AddHighlight,Not Available,No,Off,8,Kindle for iOS,Not Available,US
2024-03-06T00:37:36Z,B07C7N5CBS,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,1,Kindle for iOS,Not Available,US
2024-02-24T08:44:59Z,B0CB1RMZRC,SelectedTextMenu,RemoveHighlight,Not Available,No,Off,7,Kindle for iOS,Not Available,US
2024-03-09T01:33:06Z,B01D6TA9Y8,QuickHighlight,AddHighlight,Not Available,No,Off,2,Kindle for iOS,Not Available,US
2024-02-27T03:42:38Z,B09X6KD3CS,QuickHighlight,AddHighlight,Not Available,No,Off,4,Kindle for iOS,Not Available,US
2024-03-02T05:26:58Z,B0994RZ2L1,QuickHighlight,AddHighlight,Not Available,No,Off,8,Kindle for iOS,Not Available,US
