Creation Date,Amazon Marketplace,Display Status,Device Serial Number,Device Platform,Event Description
2025-07-29T23:19:59Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification tapped"""
2025-07-29T23:19:57Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-29T23:19:57Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-29T23:19:57Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-29T23:19:57Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-29T23:19:57Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-29T23:19:57Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-29T23:19:57Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-29T23:19:57Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notifications tray opened"""
2025-07-28T01:43:14Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification tapped"""
2025-07-26T23:26:16Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-22T20:03:37Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification tapped"""
2025-07-14T23:09:18Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notifications tray closed"""
2025-07-14T23:08:58Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification tapped"""
2025-07-14T23:08:57Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-14T23:08:57Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-14T23:08:57Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notifications tray opened"""
2025-07-13T18:09:11Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-13T03:45:05Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notifications tray closed"""
2025-07-13T03:44:22Z,www.amazon.com,"""Kindle App Notification Displayed""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification received"""
2025-07-13T03:44:21Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notification tapped"""
2025-07-13T03:38:41Z,www.amazon.com,"""Not Applicable""",DD40230DB3F34160A2E39F2E8B753EAF,"""IOS""","""Notifications tray opened"""
