Created Timestamp,Preferred Marketplace,Device Family,ASIN,Event Type,Context,Action Id,Widget Layout,Autoshelving Tutorial Shown,Kindle ASIN,Autoshelving Hides By Default,Is Goodreads User,Widget Invoked By,Device Is Offline,Shelf Status
2025-02-11T22:27:30Z,www.amazon.com,iOS,B0D7NN1P97,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0D7NN1P97,Yes,Yes,InvokedByBookOpen,No,currently-reading
2025-08-29T00:31:03Z,www.amazon.com,iOS,B0DC66QD8K,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0DC66QD8K,Yes,Yes,Invoked By Book Menu,No,read
2024-03-11T06:00:19Z,www.amazon.com,iOS,B07B9WH8KT,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B07B9WH8KT,Yes,Yes,Invoked By Book Menu,No,read
2025-02-06T00:34:25Z,www.amazon.com,iOS,B09VV2CR51,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B09VV2CR51,Yes,Yes,InvokedByBookOpen,No,currently-reading
2025-03-05T03:17:06Z,www.amazon.com,iOS,B0DD1VWZ4Z,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0DD1VWZ4Z,Yes,Yes,InvokedByBookOpen,No,currently-reading
2024-03-16T20:54:37Z,www.amazon.com,iOS,B01M04PNMH,ManualShelving,AnyActionsAutoShelvingWidget,PerformManualShelving,ManualShelvingLayout,Yes,B01M04PNMH,Yes,Yes,Invoked By Book Menu,No,read
2024-10-08T11:25:00Z,www.amazon.com,iOS,B09V2J7P9F,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B09V2J7P9F,Yes,Yes,InvokedByBookOpen,No,currently-reading
2025-01-10T01:38:04Z,www.amazon.com,iOS,B0D2PFVNXV,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0D2PFVNXV,Yes,Yes,InvokedByBookOpen,No,read
2025-04-21T17:26:59Z,www.amazon.com,iOS,B0D9CC3C9Y,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0D9CC3C9Y,Yes,Yes,Invoked By Book Menu,No,read
2025-02-02T20:18:14Z,www.amazon.com,iOS,B0BY9M2C4X,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0BY9M2C4X,Yes,Yes,InvokedByBookOpen,No,currently-reading
2025-04-19T12:36:44Z,www.amazon.com,iOS,B0D9CC3C9Y,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0D9CC3C9Y,Yes,Yes,InvokedByBookOpen,No,currently-reading
2024-04-28T19:11:31Z,www.amazon.com,iOS,B0B9KVDK8P,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0B9KVDK8P,Yes,Yes,Invoked By Book Menu,No,read
2024-10-17T19:23:45Z,www.amazon.com,iOS,B0BM7X9WFJ,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0BM7X9WFJ,Yes,Yes,InvokedByBookOpen,No,currently-reading
2024-12-09T22:43:51Z,www.amazon.com,iOS,B0D9KNVB11,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0D9KNVB11,Yes,Yes,InvokedByBookOpen,No,currently-reading
2025-06-09T11:18:48Z,www.amazon.com,iOS,B0BGMZ9ZL2,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0BGMZ9ZL2,Yes,Yes,InvokedByBookOpen,No,currently-reading
2024-11-14T03:17:04Z,www.amazon.com,iOS,B0CXKKC82X,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0CXKKC82X,Yes,Yes,InvokedByBookOpen,No,currently-reading
2025-06-06T03:36:53Z,www.amazon.com,iOS,B08XLKH2Q2,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B08XLKH2Q2,Yes,Yes,Invoked By Book Menu,No,read
2025-07-02T19:55:13Z,www.amazon.com,iOS,B0DKG9MS7S,AutoShelving,AnyActionsAutoShelvingWidget,PerformAutoShelving,AutoShelvingLayout,No,B0DKG9MS7S,Yes,Yes,InvokedByBookOpen,No,currently-reading
