created_timestamp,preferred_marketplace,country,device_family,ASIN,widget_action,widget_name
2024-03-03T20:20:49Z,US,Not Available,Kindle for iOS,B01N5C6HP9,Open,rtrv
2024-03-04T06:19:24Z,US,Not Available,Kindle for iOS,B01MTZDCUN,Open,ttl
2024-04-04T13:48:06Z,US,Not Available,Kindle for iOS,B0BJJTTM8K,Open,ttl
2024-03-14T20:50:46Z,US,Not Available,Kindle for iOS,B08266V1T2,Open,rtrv
2024-03-03T07:25:35Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Open,ttl
2024-03-11T06:00:12Z,US,Not Available,Kindle for iOS,B07B9WH8KT,Open,grsh
2024-03-03T07:26:56Z,US,Not Available,Kindle for iOS,B09QY2KWKY,Open,grsh
2024-02-26T08:33:01Z,US,Not Available,Kindle for iOS,B09HLCTYZ8,Open,rtrv
2024-03-27T22:42:29Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,Open,Next in Series
2024-03-28T22:40:43Z,US,Not Available,Kindle for iOS,B0CYWDS6CT,Open,Customers Who Bought This Also Bought
2024-02-27T23:08:52Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Open,ttl
2024-03-27T22:42:29Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,Open,rtrv
2024-03-05T01:51:22Z,US,Not Available,Kindle for iOS,B09NJBVM8Z,Click.Rate.GR,rtrv
2024-03-12T06:17:43Z,US,Not Available,Kindle for iOS,B09P5GT746,Open,rtrv
2024-02-25T06:17:00Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Open,Customers Who Bought This Also Bought
2024-04-05T13:45:51Z,US,Not Available,Kindle for iOS,B008WOTQGU,Open,grsh
2024-03-03T06:59:14Z,US,Not Available,Kindle for iOS,B09QY2KWKY,Open,rtrv
2024-03-27T22:42:49Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,Open,Follow the Author
2024-03-09T03:35:05Z,US,Not Available,Kindle for iOS,B01D6TA9Y8,Collapse,BSE_EA
2024-03-03T20:20:49Z,US,Not Available,Kindle for iOS,B01N5C6HP9,Open,More by Author
2024-03-19T05:36:20Z,US,Not Available,Kindle for iOS,B008673ZAQ,Open,grsh
2024-03-27T22:42:32Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,Tap on a widget,grsh
2024-03-06T12:21:44Z,US,Not Available,Kindle for iOS,B07C7N5CBS,Open,vl
2024-04-09T18:40:10Z,US,Not Available,Kindle for iOS,B00H57X864,Collapse,BSE_EA
2024-03-03T07:24:23Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Open,Customers Who Bought This Also Bought
2024-02-24T08:49:30Z,US,Not Available,Kindle for iOS,B0CB1RMZRC,Open,Customers Who Bought This Also Bought
2024-04-04T13:47:13Z,US,Not Available,Kindle for iOS,B0BJJTTM8K,Click.Cancel.GR.ReviewPage,rtrv
2024-03-16T08:52:06Z,US,Not Available,Kindle for iOS,B017S3J3X6,Click.Rate.GR,rtrv
2024-03-04T06:19:36Z,US,Not Available,Kindle for iOS,B01MTZDCUN,Open,vl
2024-03-08T20:06:36Z,US,Not Available,,B01D6TA9Y8,Present.0,BSE_SA
2024-03-12T06:17:45Z,US,Not Available,Kindle for iOS,B09P5GT746,Collapse,BSE_EA
2024-03-16T14:40:49Z,US,Not Available,Kindle for iOS,B01BU2NFTO,Click.Shelf,grsh
2024-03-13T13:43:06Z,US,Not Available,Kindle for iOS,B08266PLCC,Click.Shelf,grsh
2024-03-14T17:21:25Z,US,Not Available,Kindle for iOS,B0C7QYS91W,Open,More by Author
2024-02-24T18:32:43Z,US,Not Available,Kindle for iOS,B08K62VYDJ,Open,Sharing
2024-03-28T22:40:50Z,US,Not Available,Kindle for iOS,B0CYWDS6CT,Click.Shelf,grsh
2024-02-24T18:32:32Z,US,Not Available,Kindle for iOS,B08K62VYDJ,Open,Sharing
2024-02-27T23:08:52Z,US,Not Available,Kindle for iOS,B09S1CMMBT,Open,vl
