created_timestamp,preferred_marketplace,country,device_family,ASIN,Actions,Kindle Special Offers Status
2024-04-15T00:46:52Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T02:17:58Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T01:45:22Z,US,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T19:15:13Z,US,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T14:06:10Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-03-31T11:59:11Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-13T16:19:05Z,US,US,Kindle E-reader,B0778CV9Y4,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T02:02:42Z,US,US,Kindle E-reader,B00N6PD7L0,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T20:15:34Z,US,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T22:51:08Z,US,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T23:25:14Z,US,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T03:08:02Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-06T15:11:21Z,US,US,Kindle E-reader,B00BKK6E04,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T14:09:23Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-07T00:44:45Z,US,US,Kindle E-reader,B00O6V45E6,exiting lock screen,Kindle Special Offers not enabled
2024-04-06T15:15:44Z,US,US,Kindle E-reader,B00BKK6E04,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T00:26:46Z,US,US,Kindle E-reader,B00O6V45E6,exiting lock screen,Kindle Special Offers not enabled
2024-03-31T00:23:52Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T17:24:33Z,US,US,Kindle E-reader,B00FO60CH6,transition to screen saver,Kindle Special Offers not enabled
2024-04-06T15:11:22Z,US,US,Kindle E-reader,B00BKK6E04,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T14:06:10Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-11T00:53:41Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-11T02:13:15Z,US,US,Kindle E-reader,B01L7Q54NI,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-04T08:50:25Z,US,US,Kindle E-reader,B0BJJTTM8K,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T22:50:17Z,US,US,Kindle E-reader,B00O6V45CS,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T18:57:23Z,US,US,Kindle E-reader,B09DTJF1WD,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T02:32:00Z,US,US,Kindle E-reader,B00O6V45E6,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T01:42:07Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-30T18:57:23Z,US,US,Kindle E-reader,B09DTJF1WD,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T22:51:45Z,US,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T15:10:30Z,US,US,Kindle E-reader,B00O6V45CS,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T03:56:39Z,US,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-13T16:12:28Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T13:05:06Z,US,US,Kindle E-reader,B00BKK6E04,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T16:22:54Z,US,US,Kindle E-reader,B00O6V45CS,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-11T01:29:10Z,US,US,Kindle E-reader,B01L7Q54NI,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T11:59:11Z,US,US,Kindle E-reader,B07ZFZZ2GQ,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T00:49:03Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-03-30T00:54:43Z,US,US,Kindle E-reader,B0CYWDS6CT,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-30T07:15:22Z,US,US,Kindle E-reader,B09DTJF1WD,transition to screen saver,Kindle Special Offers not enabled
2024-04-15T00:54:49Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-30T01:42:07Z,US,US,Kindle E-reader,B07ZFZZ2GQ,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T19:25:06Z,US,US,Kindle E-reader,B00O6V45CS,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-08T22:37:57Z,US,US,Kindle E-reader,B00O6V45CS,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T07:14:28Z,US,US,Kindle E-reader,B00O6V45E6,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T14:16:32Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T01:47:14Z,US,US,Kindle E-reader,B00O6V45E6,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-06T01:48:56Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T23:40:21Z,US,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-15T20:07:26Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-09T00:04:33Z,US,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-05T06:33:06Z,US,US,Kindle E-reader,B008WOTQGU,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T20:16:13Z,US,US,Kindle E-reader,B00N6PD7L0,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-15T20:17:47Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-02T01:27:24Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-10T02:50:41Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-03-30T02:01:26Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T01:24:50Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition to screen saver,Kindle Special Offers not enabled
2024-04-13T16:19:05Z,US,US,Kindle E-reader,B0778CV9Y4,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T20:17:51Z,US,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-03-31T20:44:52Z,US,US,Kindle E-reader,B09Z7BYZS3,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-07T01:09:57Z,US,US,Kindle E-reader,B00O6V45E6,transition to screen saver,Kindle Special Offers not enabled
2024-04-13T13:15:01Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-15T23:48:00Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-31T03:21:51Z,US,US,Kindle E-reader,B07ZFZZ2GQ,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-10T01:42:32Z,US,US,Kindle E-reader,Not Available,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-04-13T16:19:39Z,US,US,Kindle E-reader,B0778CV9Y4,transition to screen saver,Kindle Special Offers not enabled
2024-03-30T02:05:42Z,US,US,Kindle E-reader,B07ZFZZ2GQ,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T22:44:34Z,US,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T02:01:46Z,US,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T10:54:08Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-08T19:21:33Z,US,US,Kindle E-reader,B00O6V45CS,transition to screen saver,Kindle Special Offers not enabled
2024-03-30T00:54:43Z,US,US,Kindle E-reader,B0CYWDS6CT,exiting lock screen,Kindle Special Offers not enabled
2024-03-31T14:42:50Z,US,US,Kindle E-reader,Not Available,transition to screen saver,Kindle Special Offers not enabled
2024-04-08T23:53:37Z,US,US,Kindle E-reader,B00QE1DLIC,exiting lock screen,Kindle Special Offers not enabled
2024-04-09T02:16:41Z,US,US,Kindle E-reader,B00QE1DLIC,transition from hibernate to lock screen,Kindle Special Offers not enabled
2024-03-30T21:48:09Z,US,US,Kindle E-reader,Not Available,exiting lock screen,Kindle Special Offers not enabled
2024-04-07T19:08:18Z,US,US,Kindle E-reader,B00N6PD7L0,transition to screen saver,Kindle Special Offers not enabled
