Timestamp,Activity,CampaignName,DisplayStatus
2024-09-07T19:00:20Z,RECEIVED,kindle_recommends,silentlyReceived
2025-07-13T03:45:11Z,ACTION_TRAY_CLOSE,,
2024-12-23T18:26:35Z,RECEIVED,kindle_recommends,silentlyReceived
2024-05-19T21:29:06Z,ACTION_TAP,kindle_recommends,
2024-03-25T15:31:50Z,RECEIVED,tips,displayed_InAppNotification
2024-05-18T15:35:35Z,RECEIVED,tips,silentlyReceived
2025-06-01T23:43:28Z,ACTION_TRAY_OPEN,,
2025-08-25T21:42:33Z,ACTION_TAP,,
2024-03-09T17:49:19Z,RECEIVED,tips,silentlyReceived
2024-03-03T07:28:56Z,ACTION_TRAY_CLOSE,,
2025-04-12T15:38:56Z,RECEIVED,tips,silentlyReceived
2025-09-17T02:57:16Z,RECEIVED,kindle_recommends,silentlyReceived
2025-09-12T17:05:22Z,RECEIVED,kindle_recommends,silentlyReceived
2024-03-14T00:08:45Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-02-26T07:51:25Z,ACTION_TRAY_CLOSE,,
2025-06-22T02:42:39Z,RECEIVED,tips,displayed_InAppNotification
2025-06-06T03:40:18Z,ACTION_TRAY_OPEN,,
2025-07-14T23:09:14Z,ACTION_TAP_InAppNotification,kindle_recommends,
2024-12-15T18:36:21Z,RECEIVED,kindle_recommends,silentlyReceived
2025-01-15T14:01:53Z,ACTION_TRAY_CLOSE,,
2024-03-01T16:12:32Z,RECEIVED,tips,silentlyReceived
2025-01-15T14:01:13Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-08-19T15:25:31Z,RECEIVED,tips,silentlyReceived
2024-09-21T17:26:28Z,RECEIVED,kindle_recommends,silentlyReceived
2025-01-24T16:17:57Z,RECEIVED,tips,silentlyReceived
2024-12-15T20:53:17Z,ACTION_TRAY_CLOSE,,
2024-10-29T00:30:49Z,RECEIVED,kindle_recommends,silentlyReceived
2024-11-05T12:19:50Z,ACTION_TRAY_OPEN,,
2025-03-22T15:02:50Z,RECEIVED,tips,silentlyReceived
2025-01-15T14:01:23Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-06-06T03:40:18Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-01-06T02:49:25Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-07-11T17:51:10Z,RECEIVED,kindle_recommends,silentlyReceived
2025-06-22T23:25:58Z,RECEIVED,kindle_recommends,silentlyReceived
2024-12-15T20:52:47Z,RECEIVED,your_account,displayed_InAppNotification
2024-03-14T00:08:45Z,ACTION_TAP_InAppNotification,tips,
2024-03-16T02:40:26Z,ACTION_TRAY_CLOSE,,
2025-05-16T20:04:22Z,RECEIVED,kindle_recommends,silentlyReceived
2024-05-16T02:48:42Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-08-04T12:44:05Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-10-19T01:02:35Z,RECEIVED,kindle_recommends,silentlyReceived
2025-08-26T17:26:09Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-03-23T16:52:05Z,RECEIVED,kindle_recommends,silentlyReceived
2024-10-02T12:56:10Z,RECEIVED,tips,displayed_InAppNotification
2024-02-26T07:51:25Z,ACTION_TAP_InAppNotification,kindle_recommends,
2025-08-26T17:26:09Z,ACTION_TRAY_OPEN,,
2024-12-13T01:02:42Z,RECEIVED,kindle_recommends,silentlyReceived
2024-08-26T12:03:16Z,ACTION_TAP,,
2024-12-05T16:07:56Z,RECEIVED,kindle_recommends,silentlyReceived
2025-08-21T02:20:38Z,ACTION_TAP,,
2024-09-09T14:31:21Z,ACTION_TAP,,
2024-10-02T12:56:10Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-05-27T18:04:47Z,RECEIVED,kindle_recommends,silentlyReceived
2024-03-16T02:40:56Z,ACTION_DISMISSING_SETTINGS_CATEGORY_PAGE,,
2025-09-28T15:37:36Z,RECEIVED,kindle_recommends,silentlyReceived
2024-07-13T00:16:49Z,RECEIVED,kindle_recommends,silentlyReceived
2025-03-25T18:10:37Z,RECEIVED,kindle_recommends,silentlyReceived
2024-03-31T15:18:55Z,ACTION_TAP,tips,
2024-03-03T07:28:56Z,RECEIVED,tips,displayed_InAppNotification
2024-07-27T15:30:36Z,RECEIVED,tips,silentlyReceived
2024-09-18T02:42:48Z,RECEIVED,tips,displayed_InAppNotification
2024-08-02T15:28:51Z,RECEIVED,kindle_recommends,silentlyReceived
2025-01-15T14:01:23Z,RECEIVED,tips,displayed_InAppNotification
2025-09-28T19:06:22Z,RECEIVED,kindle_recommends,silentlyReceived
2025-03-24T15:40:30Z,RECEIVED,kindle_recommends,silentlyReceived
2024-10-14T00:46:33Z,RECEIVED,kindle_recommends,silentlyReceived
2024-07-19T15:57:46Z,RECEIVED,tips,silentlyReceived
2024-10-02T12:56:10Z,ACTION_TRAY_OPEN,,
2025-09-30T20:44:48Z,RECEIVED,kindle_recommends,silentlyReceived
2024-10-15T16:20:20Z,ACTION_TAP,tips,
2024-04-19T00:43:35Z,ACTION_TRAY_OPEN,,
2025-01-02T17:39:57Z,ACTION_TAP,tips,
2025-04-27T17:28:27Z,RECEIVED,kindle_recommends,silentlyReceived
2024-02-29T01:27:14Z,ACTION_TRAY_CLOSE,,
2025-05-10T16:48:08Z,RECEIVED,kindle_recommends,silentlyReceived
2024-03-16T02:40:26Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-02-22T20:50:55Z,RECEIVED,kindle_recommends,silentlyReceived
2024-03-04T00:45:15Z,ACTION_TRAY_OPEN,,
2024-02-26T07:51:25Z,ACTION_TRAY_OPEN,,
2024-04-28T00:15:14Z,ACTION_TAP,kindle_recommends,
2025-07-13T03:44:41Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-03-25T15:32:20Z,RECEIVED,tips,displayed_InAppNotification
2025-07-14T23:09:14Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-04-23T15:26:19Z,ACTION_TAP,tips,
2025-03-06T21:06:57Z,RECEIVED,kindle_recommends,silentlyReceived
2025-06-07T19:27:50Z,RECEIVED,kindle_recommends,silentlyReceived
2024-10-05T16:18:14Z,RECEIVED,tips,silentlyReceived
2025-07-22T20:24:07Z,ACTION_TAP,your_account,
2024-04-19T00:43:35Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-05-16T02:48:42Z,ACTION_TRAY_CLOSE,,
2024-11-25T10:00:46Z,ACTION_TRAY_CLOSE,,
2024-10-22T18:19:15Z,RECEIVED,kindle_recommends,silentlyReceived
2025-06-22T02:42:39Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-11-27T03:35:56Z,RECEIVED,Social#FriendshipAccepted,silentlyReceived
2025-03-22T19:34:50Z,RECEIVED,kindle_recommends,silentlyReceived
2025-01-15T14:01:13Z,ACTION_TRAY_OPEN,,
2025-06-01T23:43:28Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2025-02-01T17:07:50Z,RECEIVED,tips,silentlyReceived
2024-05-16T02:48:42Z,ACTION_TRAY_OPEN,,
2025-05-03T15:22:23Z,RECEIVED,tips,silentlyReceived
2024-07-13T15:28:51Z,RECEIVED,tips,silentlyReceived
2024-09-25T21:33:19Z,ACTION_TRAY_CLOSE,,
2024-04-01T15:39:31Z,RECEIVED,tips,silentlyReceived
2025-01-06T02:49:25Z,ACTION_TRAY_OPEN,,
2025-01-26T18:16:47Z,RECEIVED,kindle_recommends,silentlyReceived
2024-05-10T18:22:52Z,ACTION_TAP,tips,
2024-02-24T18:18:34Z,RECEIVED,kindle_recommends,silentlyReceived
2024-11-25T09:57:36Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-07-22T19:04:50Z,ACTION_TAP,kindle_recommends,
2024-03-25T15:32:20Z,ACTION_TAP_InAppNotification,kindle_recommends,
2024-03-26T23:55:58Z,RECEIVED,kindle_recommends,silentlyReceived
2024-09-25T21:33:19Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-03-14T00:08:45Z,ACTION_TRAY_OPEN,,
2024-12-28T04:28:24Z,ACTION_TRAY_OPEN,,
2024-11-05T12:19:50Z,RECEIVED,tips,displayed_InAppNotification
2024-02-29T01:26:44Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-04-29T15:36:32Z,RECEIVED,kindle_recommends,silentlyReceived
2025-04-10T15:46:02Z,RECEIVED,tips,silentlyReceived
2025-06-06T03:40:48Z,ACTION_TRAY_CLOSE,,
2024-07-06T15:46:14Z,RECEIVED,tips,silentlyReceived
2025-06-06T03:40:18Z,RECEIVED,tips,displayed_InAppNotification
2024-03-16T15:18:16Z,RECEIVED,tips,silentlyReceived
2024-11-16T16:24:39Z,RECEIVED,tips,silentlyReceived
2025-01-08T16:39:14Z,RECEIVED,kindle_recommends,silentlyReceived
2024-09-11T00:44:47Z,RECEIVED,kindle_recommends,silentlyReceived
2024-12-22T19:04:04Z,ACTION_TAP,kindle_recommends,
2024-07-09T18:41:05Z,RECEIVED,kindle_recommends,silentlyReceived
2025-02-28T18:23:22Z,RECEIVED,tips,silentlyReceived
2025-06-22T02:42:09Z,RECEIVED,tips,displayed_InAppNotification
2025-01-06T02:49:25Z,RECEIVED,tips,displayed_InAppNotification
2024-02-29T01:26:44Z,ACTION_TRAY_OPEN,,
2024-12-28T04:28:24Z,ACTION_TRAY_CLOSE,,
2024-12-15T20:52:47Z,ACTION_TAP_InAppNotification,tips,
2025-01-10T19:20:46Z,ACTION_TRAY_OPEN,,
2024-03-10T01:26:41Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-05-16T19:36:11Z,RECEIVED,kindle_recommends,silentlyReceived
2024-03-16T02:40:26Z,ACTION_ENTERING_SETTINGS_CATEGORY_PAGE,,
2024-09-04T00:29:55Z,RECEIVED,kindle_recommends,silentlyReceived
2025-09-26T19:04:00Z,RECEIVED,kindle_recommends,silentlyReceived
2024-02-29T01:26:44Z,RECEIVED,tips,displayed_InAppNotification
2024-10-16T01:58:50Z,RECEIVED,kindle_recommends,displayed_InAppNotification
2024-04-19T00:43:35Z,RECEIVED,tips,displayed_InAppNotification
2024-08-31T00:19:14Z,RECEIVED,kindle_recommends,silentlyReceived
2024-08-04T12:44:05Z,ACTION_TRAY_OPEN,,
2024-07-31T01:36:07Z,ACTION_TAP,kindle_recommends,
2024-12-31T18:16:17Z,RECEIVED,kindle_recommends,silentlyReceived
2025-06-08T15:27:55Z,RECEIVED,tips,silentlyReceived
2024-11-19T16:34:54Z,RECEIVED,tips,silentlyReceived
2025-03-20T01:37:33Z,ACTION_TAP,,
2024-09-18T02:42:48Z,ACTION_TRAY_CLOSE,,
2024-03-04T01:29:33Z,ACTION_TRAY_OPEN,,
2024-03-23T15:34:29Z,RECEIVED,tips,silentlyReceived
2025-07-26T23:26:30Z,RECEIVED,kindle_recommends,silentlyReceived
2025-06-26T16:32:55Z,ACTION_TAP,kindle_recommends,
2024-07-15T15:01:39Z,RECEIVED,tips,silentlyReceived
2025-01-15T18:35:22Z,RECEIVED,kindle_recommends,silentlyReceived
