asin_date_and_content_type,product_name
B0918YYH5S_2024-12-06_AUTOMATIC,The Legacy (Off-Campus Book 5)
B091N9KW8N_2024-12-09_AUTOMATIC,The Words: An Enemies-to-Lovers Standalone Romance
B091SLLP6H_2024-03-01_AUTOMATIC,Twisted Games
B093DQNY17_2024-08-12_AUTOMATIC,The Fine Print (Dreamland Billionaires Book 1)
B093WB84G1_2025-02-02_AUTOMATIC,House of Sky and Breath (Crescent City)
B093WB84G1_2025-02-02_MANUAL,House of Sky and Breath (Crescent City)
B095G183J6_2025-03-28_MANUAL,Glow (The Plated Prisoner Series Book 4)
B095KMNDSW_2024-09-16_AUTOMATIC,The Lawyer (The Dalton Family Book 1)
B0994RZ2L1_2024-03-02_AUTOMATIC,Twisted Hate
B09BN2WNPP_2025-02-24_AUTOMATIC,Part of Your World
B09BN2WNPP_2025-02-24_MANUAL,Part of Your World
B09BTQ9HW6_2025-04-11_AUTOMATIC,Book Lovers
B09BTQ9HW6_2025-04-11_MANUAL,Book Lovers
B09C2PWWNP_2024-07-08_AUTOMATIC,A Touch of Darkness (Hades x Persephone Saga Book 1)
B09CNFRZDC_2024-04-20_AUTOMATIC,The Bodyguard: A Novel
B09CP3FR9K_2024-09-30_AUTOMATIC,Dirty Curve
B09D8Q2D9L_2024-07-10_AUTOMATIC,A Touch of Ruin (Hades x Persephone Saga Book 3)
B09DFCYN4V_2024-07-13_AUTOMATIC,A Touch of Malice (Hades x Persephone Saga Book 5)
B09DLCLRK4_2025-09-28_AUTOMATIC,Kiss and Don't Tell (The Agitators Series Book 1)
B09DLCLRK4_2025-09-28_MANUAL,Kiss and Don't Tell (The Agitators Series Book 1)
B09DTJF1WD_2024-03-30_AUTOMATIC,"Wicked Beauty: A Sinfully Sweet Modern Retelling of Achilles, Patroclus, and Helen of Troy (Dark Olympus Book 3)"
B09F6SYVBR_2024-07-09_AUTOMATIC,A Game of Fate (Hades x Persephone Saga Book 2)
B09FS8PZMQ_2024-09-17_AUTOMATIC,The Billionaire (The Dalton Family Book 2)
B09FSFGM8C_2024-09-18_AUTOMATIC,The Single Dad (The Dalton Family Book 3)
B09GL14D21_2024-07-12_AUTOMATIC,A Game of Retribution (Hades x Persephone Saga Book 4)
B09H7Q4B74_2024-10-06_AUTOMATIC,The Ritual: A Dark College Romance
B09HJDSQ5P_2024-04-20_AUTOMATIC,The Spanish Love Deception: A Novel (The Love Deception Series)
B09HLCTYZ8_2024-02-26_AUTOMATIC,A Not So Meet Cute
B09JBCGQB8_2025-06-13_AUTOMATIC,"Tomorrow, and Tomorrow, and Tomorrow: A novel"
B09JBCGQB8_2025-06-13_MANUAL,"Tomorrow, and Tomorrow, and Tomorrow: A novel"
B09JT59YYX_2025-06-02_AUTOMATIC,A Love Letter to Whiskey
B09JT59YYX_2025-06-02_MANUAL,A Love Letter to Whiskey
B09NHPZZS5_2024-08-05_AUTOMATIC,Eyes on Me (Salacious Players' Club)
B09NJBVM8Z_2024-03-05_AUTOMATIC,Praise (Salacious Players' Club)
B09NJFBWVR_2024-08-18_AUTOMATIC,Mercy (Salacious Players' Club)
B09NJG1KGK_2024-12-01_AUTOMATIC,Taming Mr. Walker: An Enemies to Lovers Office Romance (The London Mister Series Book 1)
B09NJGSCXW_2024-08-05_AUTOMATIC,Give Me More (Salacious Players' Club)
B09P5GT746_2024-03-12_AUTOMATIC,The Worst Guy
B09PNM8FFN_2024-07-30_AUTOMATIC,Things We Never Got Over (Knockemout Book 1)
B09PQFL2J7_2025-03-16_AUTOMATIC,Love on the Brain
B09PQFL2J7_2025-03-16_MANUAL,Love on the Brain
B09PTXQL3J_2024-08-13_AUTOMATIC,Terms and Conditions (Dreamland Billionaires Book 2)
B09Q9WSZ9G_2024-07-27_AUTOMATIC,The American Roommate Experiment: A Novel (The Love Deception Series)
B09QD52KWF_2025-09-29_AUTOMATIC,Those Three Little Words (The Agitators Series Book 2)
B09QD52KWF_2025-09-29_MANUAL,Those Three Little Words (The Agitators Series Book 2)
B09QJM783S_2024-04-30_AUTOMATIC,When in Rome: A Novel
B09QJZHVQT_2024-10-03_AUTOMATIC,Fumbled Futures: A Sports Romance Collection
B09QK389GG_2025-03-15_AUTOMATIC,Consider Me (Playing For Keeps Book 1)
B09QK389GG_2025-03-15_MANUAL,Consider Me (Playing For Keeps Book 1)
