created_timestamp,preferred_marketplace,country,device_family,ASIN,Lookup Card Display Reason,Lookup Card Type,Lookup Card Action Taken,card_position,Lookup Card Lookup Result,Dictionary ASIN,Source Language,Destination Language
2025-09-21T23:50:33Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-08-29T19:38:53Z,www.amazon.com,,Kindle for iOS,B0C3C7G6HN,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-19T12:29:57Z,www.amazon.com,,Kindle for iOS,B0DXVVG8LM,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-22T10:19:26Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-07T00:24:06Z,www.amazon.com,,Kindle for iOS,5DE54701F9AB457893A2E196F7E4F894,Selection,Wikipedia Info Card,Lookup Card First Time Viewed,1,Successful Lookup,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-29T03:59:42Z,www.amazon.com,,Kindle for iOS,B09QD52KWF,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-07-24T01:17:12Z,www.amazon.com,,Kindle for iOS,B0CTXVHQW6,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-13T18:44:39Z,www.amazon.com,,Kindle for iOS,7841469D0E8342F98B7A7247C562830D,Selection,CABMenu,CABaction,16,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-21T22:28:50Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Swiped To Card From Different Card,SearchInWeb,Lookup Card First Time Viewed,4,No Lookup Performed For This Action,Not a Dictionary Lookup Card Action,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2025-09-21T22:43:00Z,www.amazon.com,,Kindle for iOS,3984724CEF794A0FAABD20B80318BFC9,Selection,Dictionary Info Card,Lookup Card First Time Viewed,1,No Lookup Performed For This Action,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
