created_timestamp,preferred_marketplace,country,device_family,ASIN,Lookup Card Display Reason,Lookup Card Type,Lookup Card Action Taken,card_position,Lookup Card Lookup Result,Dictionary ASIN,Source Language,Destination Language
2024-02-24T08:39:48Z,US,,Kindle for iOS,B0CB1RMZRC,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-09T20:02:51Z,US,,Kindle for iOS,B07WJ2X243,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-04T22:51:37Z,US,,Kindle for iOS,B09NJBVM8Z,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-04-05T18:33:00Z,US,,Kindle for iOS,B00AXIZ5MC,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-26T06:56:16Z,US,,Kindle for iOS,B09HLCTYZ8,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-17T19:01:44Z,US,,Kindle for iOS,B0757CRTLY,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-19T05:05:14Z,US,,Kindle for iOS,B008673ZAQ,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-27T20:11:11Z,US,,Kindle for iOS,B0BDW9C3JY,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-24T21:22:31Z,US,,Kindle for iOS,B09S1CMMBT,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-29T18:19:45Z,US,,Kindle for iOS,B08Y6DCS1Y,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-27T15:17:43Z,US,,Kindle for iOS,B09ZKRWCG4,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Successful Lookup,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-09T03:27:21Z,US,,Kindle for iOS,B01D6TA9Y8,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-04T09:05:07Z,US,,Kindle for iOS,B01N7GREG9,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-03-07T11:17:58Z,US,,Kindle for iOS,B083TZV25B,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
2024-02-24T06:08:05Z,US,,Kindle for iOS,B0CB1RMZRC,Highlighted Word,Dictionary Info Card,Lookup Card First Time Viewed,1,Dictionary Not Downloaded,B003ODIZL6,Not a Translation Lookup Card Action,Not a Translation Lookup Card Action
