"Product Name","ASIN","Genre"
"Quicksilver (Fae & Alchemy Book 1)","B0DDKHNVWF","Science Fiction & Fantasy"
"Quicksilver (Fae & Alchemy Book 1)","B0DDKHNVWF","Romance"
"Consider Me (Playing For Keeps Book 1)","B09QK389GG","Romance"
"Consider Me (Playing For Keeps Book 1)","B09QK389GG","Literature & Fiction"
"The Fall Risk: A Short Story","B0DS2VTD7Y","Romance"
"The Fall Risk: A Short Story","B0DD7X5V3V","Romance"
"Shoot Your Shot: A Fun and Flirty Hockey Romance Between an Athlete and Aspiring Tattoo Artist","B0D46PR72D","Romance"
"Shoot Your Shot: A Fun and Flirty Hockey Romance Between an Athlete and Aspiring Tattoo Artist","B0D46PR72D","Literature & Fiction"
"Ice Mechanic: A Small-Town Hockey Romance (Lucky Strikers Hockey Romance)","B0DPLWFDWY","Romance"
"Fake Around and Find Out: An Enemies-to-lovers Fake Relationship Grumpy Sunshine romance. (Happy Haven Book 1)","B0CBHXCKPS","Romance"
"Anger Banger: An Enemies-to-lovers Grumpy Sunshine Romance (Happy Haven Book 2)","B0CDJPKT7K","Romance"
"Unite Me (Shatter Me)","0062327968","Teen & Young Adult"
"Shatter Me","0062085484","Teen & Young Adult"
"The Pucking Wrong Number: A Hockey Romance (The Pucking Wrong Series Book 1)","B0BYWR9N4G","Romance"
"The Pucking Wrong Guy: A Hockey Romance (The Pucking Wrong Series Book 2)","B0C5K4RCNR","Romance"
"The Pucking Wrong Date: A Hockey Romance (The Pucking Wrong Series Book 3)","B0CJDMBYCT","Romance"
"Iron Flame (The Empyrean Book 2)","B0C4JMJBNX","Science Fiction & Fantasy"
"Iron Flame (The Empyrean Book 2)","B0C4JMJBNX","Romance"
"Consider Me: Playing for Keeps, Book 1","B0B98WZ1CJ","Romance"
"Consider Me: Playing for Keeps, Book 1","B0B98WZ1CJ","Literature & Fiction"
"Fourth Wing (The Empyrean Book 1)","B0BGDM197Q","Science Fiction & Fantasy"
"Fourth Wing (The Empyrean Book 1)","B0BGDM197Q","Literature & Fiction"
"Wild Eyes","B0CXR6ZHLS","Romance"
"The Dixon Rule (Campus Diaries Book 2)","B0CLGW57HP","Romance"
"The Graham Effect (Campus Diaries Book 1)","B0BYKSTDNB","Romance"
"Part of Your World","B09BN2WNPP","Romance"
"Part of Your World","B09BN2WNPP","Literature & Fiction"
"Noire Moon: A Prologue Novella (Port Macabre)","B0D3QGCCBD","Romance"
"Noire Moon: A Prologue Novella (Port Macabre)","B0D3QGCCBD","Literature & Fiction"
"The Friend Zone","B07K6G7QBR","Romance"
"The Friend Zone","B07K6G7QBR","Literature & Fiction"
"Ignite Me (Shatter Me Book 3)","B07H56SK9J","Teen & Young Adult"
"Unravel Me (Shatter Me Book 2)","B07H53MXL7","Teen & Young Adult"
"Quicksilver: The Fae & Alchemy Series, Book 1","B0DBJBFHGT","Science Fiction & Fantasy"
"Quicksilver: The Fae & Alchemy Series, Book 1","B0DBJBFHGT","Romance"
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages (The Mistborn Saga)","B004H1TQBW","Science Fiction & Fantasy"
"Mistborn Trilogy: The Final Empire, The Well of Ascension, The Hero of Ages (The Mistborn Saga)","B004H1TQBW","Literature & Fiction"
"Wild Love (Rose Hill Book 1)","B0CKMFZN5Z","Romance"
"The Wingman: a relationship coach hockey romance (Vancouver Storm Book 3)","B0DD357DWQ","Romance"
"The Fake Out: a fake dating hockey romance (Vancouver Storm Book 2)","B0CNSGXRN9","Romance"
"The Fake Out: a fake dating hockey romance (Vancouver Storm Book 2)","B0CNSGXRN9","Literature & Fiction"
"Vengeful Gods (Port Macabre)","B0CPHZP6S9","Romance"
"Vengeful Gods (Port Macabre)","B0CPHZP6S9","Literature & Fiction"
"Behind the Net: a grumpy sunshine hockey romance (Vancouver Storm Book 1)","B0C85RV9VG","Romance"
"Behind the Net: a grumpy sunshine hockey romance (Vancouver Storm Book 1)","B0C85RV9VG","Literature & Fiction"
"Wild Eyes","B0D98Q4F5C","Romance"
"Flawless: A Small Town Enemies to Lovers Romance","B09VV2CR51","Romance"
"Reckless","B0BTZQ7TGP","Romance"
"Powerless: A Small Town Friends to Lovers Romance","B0BHV6ZHT1","Romance"
"Heartless: A Small Town Single Dad Romance","B0B4KR2X87","Romance"
"Hopeless","B0C7B3DFJZ","Romance"
"Deep End","B0D3C17M1Z","Romance"
"Scythe & Sparrow: The Ruinous Love Trilogy","B0D7NN1P97","Romance"
"Scythe & Sparrow: The Ruinous Love Trilogy","B0D7NN1P97","Literature & Fiction"
"Scythe & Sparrow: The Ruinous Love Trilogy, Book 3","B0D7MYFB42","Romance"
