device_record_time,Device Serial Number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,Amazon Marketplace
2024-04-22T04:35:01Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,1275846,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-22T04:13:45Z,Amazon.com
2024-04-22T04:08:28Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,894403,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-22T03:53:34Z,Amazon.com
2024-04-22T03:34:18Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,1360115,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-22T03:11:38Z,Amazon.com
2024-04-22T03:09:17Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,898697,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-22T02:54:18Z,Amazon.com
2024-04-22T02:05:47Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,221869,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-22T02:02:06Z,Amazon.com
2024-04-22T00:53:22Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,599556,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-22T00:43:22Z,Amazon.com
2024-04-22T00:36:49Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,629305,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-22T00:26:20Z,Amazon.com
2024-04-21T23:56:17Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,4675,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:56:12Z,Amazon.com
2024-04-21T23:54:30Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,687799,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:43:02Z,Amazon.com
2024-04-21T23:36:35Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,407417,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-21T23:29:47Z,Amazon.com
