created_timestamp,preferred_marketplace,country,device_family,ASIN,context,book_count_type,book_count,count_changed
2024-04-29T08:32:29Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Sideloaded,1,Yes
2024-07-20T16:27:53Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,19,Yes
2024-05-10T08:32:30Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books In Account,155,Yes
2024-04-24T02:04:24Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,2,Yes
2024-04-04T23:38:42Z,www.amazon.com,US,Kindle E-reader,B008WOTQGU,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-07T17:52:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,130,Yes
2024-04-29T08:32:29Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books In Account,161,Yes
2024-04-12T08:33:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,136,Yes
2024-05-12T08:32:22Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Sideloaded,1,Yes
2024-05-16T08:33:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-25T08:34:03Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-12T08:33:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,17,Yes
2024-03-30T19:53:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,6,Yes
2024-07-17T15:39:21Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-27T02:51:06Z,www.amazon.com,US,Kindle E-reader,B0B89YQFNX,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-28T00:22:10Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,160,Yes
2024-05-11T08:32:28Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Downloaded,20,Yes
2024-04-15T08:32:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,21,Yes
2024-04-06T00:51:46Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,9,Yes
2024-03-30T19:53:38Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,112,Yes
2024-04-29T08:32:29Z,www.amazon.com,US,Kindle E-reader,B0B9KVDK8P,Content stored in device,Total Books Downloaded,25,Yes
2024-04-07T17:52:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-21T20:53:45Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,147,Yes
2024-04-20T15:16:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books In Account,140,Yes
2024-04-02T09:48:20Z,www.amazon.com,US,Kindle E-reader,B0BHLBHG79,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-17T01:15:04Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,21,Yes
2024-04-20T15:16:57Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-23T03:42:38Z,www.amazon.com,US,Kindle E-reader,B083GY7J9P,Content stored in device,Total Books Sideloaded,1,Yes
2024-05-16T08:33:28Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Downloaded,18,Yes
2024-07-20T16:27:54Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-15T08:32:44Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
2024-04-12T08:33:40Z,www.amazon.com,US,Kindle E-reader,Not Available,Content stored in device,Total Books Sideloaded,1,Yes
