device_record_time,device serial number,country_of_residence,app_package_name,app_version_name,app_version_code,device_type,device_profile_type,app_profile_type,launch_count,duration_milliseconds,software_version,metric_level,product_mode,reason_code,metric_source,start_time,amazon marketplace
2024-03-30T06:03:31Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Audio,Not Available,Not Available,1,2400,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 18:57:29,Amazon.com
2024-04-02T01:04:47Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,RING,Not Available,Not Available,1,28729,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-02 01:27:18,Amazon.com
2024-04-06T08:04:17Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Audio,Not Available,Not Available,1,49993,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-06 20:21:27,Amazon.com
2024-04-07T01:04:07Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Audio,Not Available,Not Available,1,1003620,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-07 01:30:24,Amazon.com
2024-04-13T04:04:39Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Not Available,Not Available,Not Available,1,33316,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-13 16:19:05,Amazon.com
2024-04-08T02:04:24Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Audio,Not Available,Not Available,1,30131,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-08 02:49:20,Amazon.com
2024-03-30T05:03:22Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Tablet,Not Available,Not Available,1,2766,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 05:39:20,Amazon.com
2024-04-08T03:04:16Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Ereader,Not Available,Not Available,1,1485705,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-08 15:10:30,Amazon.com
2024-04-08T03:04:16Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Tablet,Not Available,Not Available,1,1485705,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-08 15:10:30,Amazon.com
2024-04-08T10:04:31Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,1961,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-08 22:50:29,Amazon.com
2024-03-30T01:03:53Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,Audio,Not Available,Not Available,1,12628,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 01:44:40,Amazon.com
2024-03-29T02:03:45Z,G8S1LG134041039L,United States,com.lab126.booklet.settings,UNKNOWN,0,Not Available,Not Available,Not Available,1,7993,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-29 02:48:37,Amazon.com
2024-03-30T12:03:39Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,38180,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 00:54:00,Amazon.com
2024-04-08T10:04:31Z,G8S1LG134041039L,United States,com.lab126.KPP_HOME,UNKNOWN,0,Tablet,Not Available,Not Available,1,1961,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-08 22:50:29,Amazon.com
2024-04-13T04:04:41Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,2086,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-13 16:12:39,Amazon.com
2024-03-31T12:03:16Z,G8S1LG134041039L,United States,com.lab126.KPPMainApp,UNKNOWN,0,RING,Not Available,Not Available,1,4151,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-31 00:33:11,Amazon.com
2024-04-07T03:04:40Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,2541563,4193160020,appAction,Not Available,Not Available,Not Available,2024-04-07 03:09:18,Amazon.com
2024-03-31T12:03:09Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Ereader,Not Available,Not Available,1,63541,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 21:50:32,Amazon.com
2024-03-30T06:03:59Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Smart Media Player,Not Available,Not Available,1,2731659,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 05:39:27,Amazon.com
2024-03-31T01:03:29Z,G8S1LG134041039L,United States,com.lab126.KPP_LIBRARY,UNKNOWN,0,Not Available,Not Available,Not Available,1,11242,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-31 00:33:11,Amazon.com
2024-03-30T07:03:45Z,G8S1LG134041039L,United States,com.lab126.booklet.reader,UNKNOWN,0,Not Available,Not Available,Not Available,1,40654,4193160020,appAction,Not Available,Not Available,Not Available,2024-03-30 19:52:04,Amazon.com
