created_timestamp,country,preferred_marketplace,device_family,active_ASIN,books_series_count,max_books_series_size,books_series_grouping_setting
2024-03-03T09:11:06Z,Not Available,US,Kindle for iOS,B01MST9RU9,1,2,seriesGroupingEnabled
2024-03-03T09:06:36Z,Not Available,US,Kindle for iOS,Not Available,3,4,seriesGroupingEnabled
2024-03-11T20:53:01Z,Not Available,US,Kindle for iOS,Not Available,3,5,seriesGroupingEnabled
2024-03-22T14:31:25Z,Not Available,US,Mac,Not Available,3,5,seriesGroupingEnabled
2024-03-25T20:48:19Z,Not Available,US,Kindle for iOS,B07Y82JMF8,4,5,seriesGroupingEnabled
2024-02-25T23:57:54Z,Not Available,US,Kindle for iOS,Not Available,1,2,seriesGroupingEnabled
2024-03-04T06:19:52Z,Not Available,US,Kindle for iOS,B01MTZDCUN,2,4,seriesGroupingEnabled
2024-03-02T14:57:49Z,Not Available,US,Kindle for iOS,Not Available,3,3,seriesGroupingEnabled
2024-03-30T00:11:24Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-04-12T20:18:33Z,Not Available,US,Kindle for iOS,B09HJDSQ5P,6,5,seriesGroupingEnabled
2024-03-04T09:54:00Z,Not Available,US,Kindle for iOS,Not Available,2,5,seriesGroupingEnabled
2024-03-21T02:39:20Z,Not Available,US,Kindle for iOS,B0183KJZE0,4,5,seriesGroupingEnabled
2024-03-07T20:08:57Z,Not Available,US,Mac,Not Available,1,2,seriesGroupingEnabled
2024-03-13T01:29:34Z,Not Available,US,Kindle for iOS,B08266PLCC,3,5,seriesGroupingEnabled
2024-03-16T01:32:00Z,Not Available,US,Kindle for iOS,B017S3J3X6,3,3,seriesGroupingEnabled
2024-03-08T07:23:39Z,Not Available,US,Kindle for iOS,B083TZV25B,3,5,seriesGroupingEnabled
2024-04-01T13:25:06Z,Not Available,US,Kindle for iOS,B09Z7BYZS3,4,5,seriesGroupingEnabled
2024-02-26T00:13:03Z,Not Available,US,Kindle for iOS,B09HLCTYZ8,2,2,seriesGroupingEnabled
2024-03-08T18:52:27Z,Not Available,US,Mac,Not Available,2,2,seriesGroupingEnabled
2024-04-04T11:18:37Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-03-08T18:35:43Z,Not Available,US,Mac,B083TZV25B,3,5,seriesGroupingEnabled
2024-03-13T13:43:50Z,Not Available,US,Kindle for iOS,B08266PLCC,3,4,seriesGroupingEnabled
2024-03-29T19:35:29Z,Not Available,US,Kindle for iOS,Not Available,4,5,seriesGroupingEnabled
2024-04-07T02:40:42Z,Not Available,US,Kindle for iOS,Not Available,5,5,seriesGroupingEnabled
