created_timestamp,preferred_marketplace,country,device_family,ASIN,prev_state,curr_state
2024-04-13T13:15:45Z,US,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-03-30T01:42:06Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T23:52:47Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T16:22:55Z,US,US,Kindle E-reader,B00O6V45CS,SCREEN SAVER,ACTIVE
2024-04-08T15:36:16Z,US,US,Kindle E-reader,B00O6V45CS,SCREEN SAVER,ACTIVE
2024-04-13T16:21:34Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-09T05:37:01Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-13T13:16:45Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T19:45:02Z,US,US,Kindle E-reader,B00O6V45CS,SCREEN SAVER,ACTIVE
2024-04-07T01:10:57Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-03-30T18:57:23Z,US,US,Kindle E-reader,B09DTJF1WD,SCREEN SAVER,ACTIVE
2024-04-09T00:49:29Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-03-30T21:46:50Z,US,US,Kindle E-reader,B09Z7BYZS3,ACTIVE,SCREEN SAVER
2024-04-06T17:26:28Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-15T02:52:16Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-09T02:14:16Z,US,US,Kindle E-reader,B00QE1DLIC,ACTIVE,SCREEN SAVER
2024-03-31T20:44:52Z,US,US,Kindle E-reader,B09Z7BYZS3,SCREEN SAVER,ACTIVE
2024-04-07T00:26:45Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-09T00:12:34Z,US,US,Kindle E-reader,B00QE1DLIC,ACTIVE,SCREEN SAVER
2024-03-31T00:35:11Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-11T03:35:55Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T15:10:29Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T02:02:45Z,US,US,Kindle E-reader,B00N6PD7L0,ACTIVE,SCREEN SAVER
2024-03-30T08:32:15Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-03-30T02:05:42Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-04-08T02:52:27Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-08T19:23:29Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-02T11:00:49Z,US,US,Kindle E-reader,Not Available,ACTIVE,SCREEN SAVER
2024-04-13T16:19:39Z,US,US,Kindle E-reader,B0778CV9Y4,ACTIVE,SCREEN SAVER
2024-04-02T04:28:00Z,US,US,Kindle E-reader,B0BHLBHG79,SCREEN SAVER,ACTIVE
2024-03-31T13:11:52Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-06T22:47:52Z,US,US,Kindle E-reader,Not Available,SCREEN SAVER,ACTIVE
2024-04-07T19:55:27Z,US,US,Kindle E-reader,B00N6PD7L0,SCREEN SAVER,ACTIVE
2024-04-06T15:05:20Z,US,US,Kindle E-reader,Not Available,NOT ACTIVE,SCREEN SAVER
2024-03-31T11:59:11Z,US,US,Kindle E-reader,B07ZFZZ2GQ,SCREEN SAVER,ACTIVE
2024-04-04T08:52:20Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
2024-04-15T08:34:20Z,US,US,Kindle E-reader,Not Available,ACTIVE,NOT ACTIVE
