Creation Date,ASIN,Product Name,Browse Node,StoreUrl,Device Platform,Display Status
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-09T17:27:08Z,B08LDYBGJD,The Soulmate Equation (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-08T17:33:23Z,"""Not Applicable""","""Not Applicable""",86398725011,"""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-07T17:53:53Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",http://www.amazon.com/b?ie=UTF8&node=202448312011&ref_=goodreads_Junebest2025,"""IOS""","""Kindle App Notification Sent"""
2025-06-07T14:30:02Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-cp,"""IOS""","""Kindle App Notification Sent"""
2025-06-07T14:28:31Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/7fb0e100-d12a-45f2-9b9b-5343868600ac?ref=kc-sp-ww-pr,"""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""Not Applicable""","""Kindle App Notification Sent"""
2025-06-06T17:49:48Z,B0DF8QMLWC,Mr. Broody (The Nest Book 2) (English Edition),"""Not Applicable""","""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-06T05:46:38Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd4?ref=kr_krb_dpd_lcp,"""IOS""","""Kindle App Notification Sent"""
2025-06-05T15:55:40Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/kindlerewards/push/dpd4?ref=kr_krb_dpd,"""IOS""","""Kindle App Notification Sent"""
2025-06-05T11:36:36Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/achievements/dp/64fdd16e-52e7-431d-b5b0-1cad3d11ea09?ref=kc-sp-pw-pr,"""IOS""","""Kindle App Notification Sent"""
2025-06-04T17:53:41Z,"""Not Applicable""","""Not Applicable""",23610274011,"""Not Applicable""","""IOS""","""Kindle App Notification Sent"""
2025-06-04T01:50:16Z,"""Not Applicable""","""Not Applicable""","""Not Applicable""",https://www.amazon.com/reading/challenges/annual,"""IOS""","""Kindle App Notification Sent"""
