created_timestamp,preferred_marketplace,country,device_family,ASIN,action_performed,alert_type,desired_page_location
2025-08-22T16:10:20Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-02-21T20:57:47Z,www.amazon.com,Not Available,,B0CXR6ZHLS,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-02-18T15:02:11Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-17T17:11:17Z,www.amazon.com,Not Available,Kindle for iOS,B0CL1C4PM4,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-17T17:14:34Z,www.amazon.com,Not Available,Kindle for iOS,B0CL1C4PM4,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-02-14T19:24:54Z,www.amazon.com,Not Available,,B0D3C17M1Z,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-16T20:27:27Z,www.amazon.com,Not Available,Kindle for iOS,B01M04PNMH,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-07-10T10:59:15Z,www.amazon.com,Not Available,Kindle for iOS,B09D8Q2D9L,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-02-19T15:48:08Z,www.amazon.com,Not Available,,B0DD357DWQ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-03-22T14:31:23Z,www.amazon.com,Not Available,,B0183KJZE0,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-16T05:15:22Z,www.amazon.com,Not Available,Kindle for iOS,B017S3J3X6,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-07-11T06:44:26Z,www.amazon.com,Not Available,Kindle for iOS,B09GL14D21,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-07-09T22:31:04Z,www.amazon.com,Not Available,Kindle for iOS,B09D8Q2D9L,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-04-21T23:59:04Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-21T10:09:46Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-12-10T13:43:33Z,www.amazon.com,Not Available,Kindle for iOS,B07JH7ZKVX,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-03-05T20:51:46Z,www.amazon.com,Not Available,Kindle for iOS,B0DD1VWZ4Z,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-08-22T05:00:04Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-22T15:38:18Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-03-06T18:25:47Z,www.amazon.com,Not Available,Kindle for iOS,B0CHVBB7Y5,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-27T14:57:05Z,www.amazon.com,Not Available,Kindle for iOS,B017O4W3V8,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-06-26T13:20:48Z,www.amazon.com,Not Available,Kindle for iOS,B0D5YMWD9Y,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-03-17T10:11:18Z,www.amazon.com,Not Available,Kindle for iOS,B0757CRTLY,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-10-22T21:28:06Z,www.amazon.com,Not Available,Kindle for iOS,B0CPD3911D,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-07-11T11:51:36Z,www.amazon.com,Not Available,Kindle for iOS,B09GL14D21,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-11-04T18:57:30Z,www.amazon.com,Not Available,Kindle for iOS,B0763NXSM7,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-21T19:31:37Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-03-17T19:20:11Z,www.amazon.com,Not Available,Kindle for iOS,B00TU3BTUI,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-08-23T20:40:43Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-12-10T13:44:30Z,www.amazon.com,Not Available,Kindle for iOS,B07JH7ZKVX,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-12-10T04:46:59Z,www.amazon.com,Not Available,Kindle for iOS,B07JH7ZKVX,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-12-10T13:41:06Z,www.amazon.com,Not Available,Kindle for iOS,B07JH7ZKVX,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-03-05T23:11:24Z,www.amazon.com,Not Available,Kindle for iOS,B0DD1VWZ4Z,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-05-08T16:22:59Z,www.amazon.com,Not Available,Kindle for iOS,B00LWSNUQ0,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-12-10T12:38:06Z,www.amazon.com,Not Available,Kindle for iOS,B07JH7ZKVX,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-08-23T04:06:49Z,www.amazon.com,Not Available,Kindle for iOS,Not Available,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-05-13T16:38:45Z,www.amazon.com,Not Available,,B0188332MI,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-04-15T20:33:24Z,www.amazon.com,Not Available,,B0D1PC9FHN,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-02-19T14:57:34Z,www.amazon.com,Not Available,Kindle for iOS,B0DD357DWQ,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-09T18:40:51Z,www.amazon.com,Not Available,Kindle for iOS,B00O6V45E6,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-04-21T15:00:06Z,www.amazon.com,Not Available,,B0CW1J839S,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-02-14T14:40:12Z,www.amazon.com,Not Available,,B0BF16RV53,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-23T11:07:59Z,www.amazon.com,Not Available,Kindle for iOS,B09X6HZ4FT,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-05-05T19:52:00Z,www.amazon.com,Not Available,Kindle for iOS,B01MQLZ12X,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-05-09T15:44:30Z,www.amazon.com,Not Available,Kindle for iOS,B00P2RBHPS,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-07-10T04:02:52Z,www.amazon.com,Not Available,Kindle for iOS,B09D8Q2D9L,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-07-11T11:22:41Z,www.amazon.com,Not Available,Kindle for iOS,B09GL14D21,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-05-05T19:51:59Z,www.amazon.com,Not Available,Kindle for iOS,B01MQLZ12X,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-07-26T22:16:39Z,www.amazon.com,Not Available,Kindle for iOS,B09Q9WSZ9G,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-04-22T15:38:16Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-07-09T22:30:55Z,www.amazon.com,Not Available,Kindle for iOS,B09D8Q2D9L,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-06-26T12:44:28Z,www.amazon.com,Not Available,Kindle for iOS,B0D5YMWD9Y,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-08-23T20:52:26Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-05-14T17:29:14Z,www.amazon.com,Not Available,,B0188332MI,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-07-11T22:19:28Z,www.amazon.com,Not Available,Kindle for iOS,B09GL14D21,Customer moved to Most Recent Page Read,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-04-21T20:50:06Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-04-21T19:50:01Z,www.amazon.com,Not Available,Kindle for iOS,B01N9F5IOL,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-10-22T21:28:07Z,www.amazon.com,Not Available,Kindle for iOS,B0CPD3911D,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-05-09T16:44:52Z,www.amazon.com,Not Available,,B00P2RBHPS,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-10-06T03:18:27Z,www.amazon.com,Not Available,Kindle for iOS,B0DCG89SDJ,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-02-12T22:13:52Z,www.amazon.com,Not Available,Kindle for iOS,B0D7NN1P97,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-02-13T22:44:52Z,www.amazon.com,Not Available,Kindle for iOS,B0BF16RV53,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-04-21T16:15:32Z,www.amazon.com,Not Available,Kindle for iOS,B0D9CC3C9Y,Customer stayed on current page,Most Recent Page Read Bottom Sheet,Current Page
2024-07-10T11:36:41Z,www.amazon.com,Not Available,Kindle for iOS,B09D8Q2D9L,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-08-20T00:30:53Z,www.amazon.com,Not Available,Kindle for iOS,B07DMZ5YR9,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2024-07-10T10:59:05Z,www.amazon.com,Not Available,Kindle for iOS,B09D8Q2D9L,Presented alert to customer,Most Recent Page Read Bottom Sheet,Current Page
2025-02-19T14:57:36Z,www.amazon.com,Not Available,Kindle for iOS,B0DD357DWQ,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2025-06-26T13:22:20Z,www.amazon.com,Not Available,Kindle for iOS,B0D5YMWD9Y,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Most Recent Page Read
2024-05-05T19:35:52Z,www.amazon.com,Not Available,Kindle for iOS,B01MQLZ12X,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2024-03-20T11:28:12Z,www.amazon.com,Not Available,Kindle for iOS,B00NEQRNVG,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
2025-05-08T16:23:01Z,www.amazon.com,Not Available,Kindle for iOS,B00LWSNUQ0,Customer swiped down on bottom sheet,Most Recent Page Read Bottom Sheet,Current Page
