campaign,preferred_marketplace,country,device_family,kindle_software_version,session_id,campaign_status,last_used_ASIN,home_page_number,campaign_display_position
2024-04-15T00:46:49.019Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-11T00:53:41.176Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-08T02:04:49.458Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,3,7
2024-03-31T14:42:38.857Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B07ZFZZ2GQ,1,1
2024-03-30T01:04:49.633Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,1,2
2024-04-11T00:53:41.084Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-03-29T02:46:05.773Z,US,US,Kindle E-reader,3924990005,Not Applicable,displayed,Not Available,1,1
2024-03-30T01:04:58.262Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,4,11
2024-04-08T02:11:30.363Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,3,6
2024-04-04T23:38:27.422Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-06T00:51:40.327Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-15T00:46:32.588Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,0
2024-04-02T10:58:38.793Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,0
2024-04-10T01:42:54.507Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-04-04T23:38:27.508Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,2
2024-03-29T02:45:34.587Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,2,4
2024-03-30T18:57:29.470Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,B09DTJF1WD,1,1
2024-03-29T02:46:04.819Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,2,5
2024-03-30T05:39:20.451Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,B07ZFZZ2GQ,1,2
2024-03-29T02:46:04.003Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,3,8
2024-04-06T00:51:40.217Z,US,US,Kindle E-reader,4193160020,Not Applicable,displayed,Not Available,1,1
2024-04-15T00:56:01.790Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,2,4
2024-04-08T02:04:49.424Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,3,6
2024-03-30T01:04:59.733Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,5,12
2024-03-31T12:47:28.400Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,Not Available,1,0
2024-03-30T01:04:59.752Z,US,US,Kindle E-reader,4193160020,133-3891806-0736958,displayed,Not Available,5,13
2024-03-31T14:42:38.884Z,US,US,Kindle E-reader,4193160020,137-4000468-4417115,displayed,B07ZFZZ2GQ,1,2
2024-03-29T02:46:05.809Z,US,US,Kindle E-reader,3924990005,133-3891806-0736958,displayed,Not Available,1,2
