created_timestamp,preferred_marketplace,country,device_family,last_used_ASIN,kindle_software_version,action_performed,item_position,user_action_type,campiaign_page_position
2024-04-07T03:09:18Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-23T03:43:12Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
2024-07-18T18:02:03Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4246250033,Book Selected,Selected Campaign Header,tap,1
2024-04-15T00:54:29Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_6_10,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-20T21:55:41Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_12_16,Selected Campaign Header,BackwardHorizontalScroll,1
2025-05-20T11:53:32Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4434540025,asin_horizontal_scroll_3_7,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-07T17:52:46Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in Second Book of the Campaign,tap,1
2025-05-20T11:42:39Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4246250033,Book Selected,Selected Campaign Header,tap,1
2025-05-20T11:42:44Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4246250033,Tap on Card Title,Selected Campaign Header,tap,1
2025-05-20T11:53:26Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4434540025,Book Information Page Invoked,Action Performed in First Book of the Campaign,hold,2
2024-03-30T05:39:22Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in Fourth Book of the Campaign,tap,1
2024-04-04T03:11:45Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-02T01:26:18Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_3_7,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-15T00:54:32Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_9_13,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-08T14:16:38Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-06T02:19:12Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-15T00:54:26Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_3_7,Selected Campaign Header,ForwardHorizontalScroll,1
2024-03-30T00:51:02Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-13T13:15:28Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-23T03:43:10Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_3_7,Selected Campaign Header,ForwardHorizontalScroll,1
2024-04-08T22:51:11Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Action Performed in First Book of the Campaign,tap,1
2024-03-31T13:11:54Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-20T21:55:56Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,Book Selected,Selected Campaign Header,tap,1
2024-04-04T03:11:23Z,www.amazon.com,US,Kindle E-reader,Not Applicable,4193160020,asin_horizontal_scroll_1_4,Selected Campaign Header,BackwardHorizontalScroll,1
