created_timestamp,preferred_marketplace,country,device_family,ASIN,metric_name,SelectedValue,activePageName,VoiceViewStatus,ToPageName
2024-03-31T03:26:43Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,4,In-book,VoiceView turned off,
2024-04-02T10:17:16Z,US,US,Kindle E-reader,B0BHLBHG79,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-31T03:22:12Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T22:48:01Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-03-29T02:47:19Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Settings,VoiceView turned off,
2024-03-31T12:47:06Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-30T05:39:45Z,US,US,Kindle E-reader,B09DTJF1WD,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-07T02:38:07Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-04-02T01:27:19Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
2024-03-31T01:04:46Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-04-06T20:27:42Z,US,US,Kindle E-reader,B00H57X864,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-11T00:54:31Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-03-31T13:58:32Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-04-06T02:52:21Z,US,US,Kindle E-reader,B00BKK6E04,Set Brightness Level,7,In-book,VoiceView turned off,
2024-04-11T00:53:43Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-03-29T02:47:18Z,US,US,Kindle E-reader,Not Available,Set Warmth Level,10,Settings,VoiceView turned off,
2024-04-06T20:27:48Z,US,US,Kindle E-reader,B00H57X864,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-04-04T03:11:33Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-03-31T00:26:56Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Warmth Level,14,In-book,VoiceView turned off,
2024-04-06T01:48:52Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-06T02:18:00Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Swiped down,Home,VoiceView turned off,
2024-04-15T23:48:04Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Library,VoiceView turned off,
2024-04-06T20:22:09Z,US,US,Kindle E-reader,Not Available,Data sync,Clicked,Home,VoiceView turned off,
2024-03-30T01:08:53Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
2024-03-31T03:38:54Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Set Brightness Level,6,In-book,VoiceView turned off,
2024-04-15T20:07:36Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-06T20:22:14Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Home,VoiceView turned off,
2024-04-04T03:11:43Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-03-30T21:34:15Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Home,VoiceView turned off,
2024-03-30T21:35:10Z,US,US,Kindle E-reader,Not Available,Warmth schedule Settings screen,Clicked,Home,VoiceView turned off,Warmth Schedule
2024-03-30T01:43:22Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-29T02:57:53Z,US,US,Kindle E-reader,Not Available,Auto brightness,Off,Home,VoiceView turned off,
2024-04-06T02:18:10Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped Quick Actions Close button,Home,VoiceView turned off,
2024-04-07T03:08:11Z,US,US,Kindle E-reader,Not Available,Closed Quick Actions,Tapped outside window,Home,VoiceView turned off,
2024-04-15T23:48:01Z,US,US,Kindle E-reader,Not Available,Opened Quick Actions,Tapped Quick Actions drop-down button,Library,VoiceView turned off,
2024-03-31T14:28:02Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Opened Quick Actions,Swiped down,In-book,VoiceView turned off,
2024-03-30T01:44:25Z,US,US,Kindle E-reader,B07ZFZZ2GQ,Closed Quick Actions,Tapped outside window,In-book,VoiceView turned off,
