Created Time,Preferred Marketplace,Country,Device Family,ASIN,Search Query,Search ID,Spell Corrected Keyword,Search Suggestions,Search Keyword Before Suggestion,Search Suggestion Selected Position,Refinements,Search Session ID,Is Device Offline,Search Entry Location,Personal Information Type Detected,Refinements Before Search
2024-03-23T02:32:15Z,US,Not Available,Kindle for iOS,Not Available,losers harley laroux,B854E514-25F3-4D72-9BEE-8AF6D1E504A8,Not Applicable,losers harley laroux|losers|losers duet harley laroux|losers duet|losers part 2|losers club,losers,1,||,1B13AE8F-A027-4852-B31C-2A599A20BBA2,No,Home,No Data,"store, library||SortByRelevance"
2024-03-18T03:12:59Z,US,Not Available,Kindle for iOS,Not Available,k.a. tucker,12638915-12AD-40C4-9A48-CA59D92D5959,Not Applicable,k.a. tucker|k.a. tucker books|k.a. tucker kindle|k.a. tucker tempt me|k.a. tucker blood and stone|k.a. tucker ronan,Not Applicable,Not Selected,||,C91DAEC3-492D-4EF7-A3E9-744A23761457,No,Home,No Data,"store, library||SortByRelevance"
2024-03-08T19:03:05Z,US,Not Available,Kindle for iOS,Not Available,the contract,F89EA91E-9708-4036-B419-CFC2F1AC7349,Not Applicable,the contract|the contract melanie moreland|the contract luna|the contract tanon|the contract man|the contractor,Not Applicable,Not Selected,||,D8697C96-ECA5-4AD1-A512-F09E333B08CB,No,Library,No Data,"store, library||SortByRelevance"
2024-03-27T02:40:27Z,US,Not Available,Kindle for iOS,Not Available,broken trilogy,A22FDE96-CC1F-498C-B419-7A132C960424,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,2032436F-8BA6-40E6-8C30-497863232B7C,No,Home,No Data,"store, library||SortByRelevance"
2024-03-08T17:06:52Z,US,Not Available,Kindle for iOS,Not Available,from lukov with love,A0A677B5-424D-488A-B4D0-CCA56094DA6B,Not Applicable,from lukov with love|from lukov with love book|from lukov with love by mariana zapata,Not Applicable,Not Selected,||,2548C7E1-610B-4DF7-BC35-0C55B6537288,No,Home,No Data,"store, library||SortByRelevance"
2024-02-29T02:30:59Z,US,Not Available,Kindle for iOS,Not Available,ana huang,5CB31E5E-D6A1-48D6-B00A-59D330100337,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,C99F2CF7-105F-406F-99F3-DCF0BED2C227,No,Home,No Data,"store, library||SortByRelevance"
2024-03-22T02:44:41Z,US,Not Available,Kindle for iOS,Not Available,three simple rules by nikki sloane,73720B2A-698D-440A-B861-68A11889D74A,Not Applicable,No Search Suggestions,Not Applicable,Not Selected,||,B89A0714-12AC-40C0-930F-AF48D7156B04,No,Home,No Data,"store, library||SortByRelevance"
2024-03-26T04:07:37Z,US,Not Available,Kindle for iOS,Not Available,to make matters worse by elle rivers,C8E35961-F467-430C-9C21-9BD4E05C2EE3,Not Applicable,to make matters worse by elle rivers|to make matters worse|to make matters worst,to make matters,1,||,1E3468CE-E6E6-432C-A250-3C7FE9C536CD,No,Home,No Data,"store, library||SortByRelevance"
2024-02-25T23:58:04Z,US,Not Available,Kindle for iOS,Not Available,dating you hating you by christina lauren,89226270-1245-4A68-9990-8C557316BD10,Not Applicable,dating and dismemberment|dating|dating dr dill|dating dr dil|dating you hating you by christina lauren|dating dracula,dating,5,||,E7B22249-061D-43B7-9F98-A2805C2D3AEB,No,Home,No Data,"store, library||SortByRelevance"
2024-03-07T05:09:38Z,US,Not Available,Kindle for iOS,Not Available,,7267F85B-0DDE-4D6A-88AF-B2348FE8ADF5,Not Applicable,credence|credence penelope douglas|credance|credit repair|credit|credence book,cred,1,||,F5DBAAEB-0A21-44BA-8D1E-271A93EAC323,No,Home,No Data,"store, library||SortByRelevance"
