"Product Name","ASIN","Author ID"
"Release Me (The Stark Trilogy, Book 1)","B008WOTQGU","B001H6GHOO"
"Release Me (The Stark Trilogy, Book 1)","B008WOTQGU","B00TUBLRHA"
"Complete Me (The Stark Trilogy, Book 3)","B00BKK6E04","B001H6GHOO"
"Complete Me (The Stark Trilogy, Book 3)","B00BKK6E04","B00TUBLRHA"
"Hold Me: A Stark Ever After Novella (1001 Dark Nights)","B01MSWC05T","B00TUBLRHA"
"Love and Other Words","B075CRQLKG","B009XCC1L2"
"Unravel Me (Shatter Me Book 2)","B0089LOFGC","B005DISZ0Q"
"Hard Love: The Hacker Series #5","B00W22ITCU","B00EY3RDPY"
"Love, Theoretically","B0BJJTTM8K","B08ZYW66XW"
"Beautiful Bastard","B009UVCYLS","B009XCC1L2"
"Claim Me (The Stark Trilogy, Book 2)","B00AXIZ5MC","B001H6GHOO"
"Claim Me (The Stark Trilogy, Book 2)","B00AXIZ5MC","B00TUBLRHA"
"Say My Name: A Stark Novel (Stark International Trilogy Book 1)","B00N6PD7L0","B001H6GHOO"
"Say My Name: A Stark Novel (Stark International Trilogy Book 1)","B00N6PD7L0","B00TUBLRHA"
"Under My Skin: A Stark Novel (Stark International Trilogy Book 3)","B00QE1DLIC","B00TUBLRHA"
"On My Knees: A Stark Novel (Stark International Trilogy Book 2)","B00O6V45CS","B001H6GHOO"
"On My Knees: A Stark Novel (Stark International Trilogy Book 2)","B00O6V45CS","B00TUBLRHA"
"Damien: A Stark Novel (Stark Saga Book 6)","B07G5FTPGY","B00TUBLRHA"
"Hello Stranger: A Novel","B0B9KVDK8P","B001JS3MLG"
"Happy Place","B0B7L29TB7","B01BW7AX4W"
"Book Lovers","B09BTQ9HW6","B01BW7AX4W"
"Love on the Brain","B09PQFL2J7","B08ZYW66XW"
"Life's Too Short (The Friend Zone Book 3)","B08F4ZSTH2","B07KX5X24Y"
"Not in Love","B0CHVBB7Y5","B08ZYW66XW"
"The True Love Experiment","B0BF16RV53","B009XCC1L2"
"The Paradise Problem","B0CL5FS86S","B009XCC1L2"
"Wicked Beauty: A Sinfully Sweet Modern Retelling of Achilles, Patroclus, and Helen of Troy (Dark Olympus Book 3)","B09DTJF1WD","B0070EJJQA"
"Cruel Seduction (Dark Olympus Book 5)","B0BHLBHG79","B0070EJJQA"
"Radiant Sin: A Darkly Hot Modern Retelling of Apollo and Cassandra (Dark Olympus Book 4)","B09Z7BYZS3","B0070EJJQA"
"Fangirl Down: A Novel (Big Shots Book 1)","B0C4LHVJ82","B00BKMOZYO"
"When in Rome: A Novel","B09QJM783S","B081451VPY"
"People We Meet on Vacation","B08FZNYQJC","B01BW7AX4W"
"Heidi's Guide to Four Letter Words","B07WD5D3PN","B008B6LBLM"
"Heidi's Guide to Four Letter Words","B07WD5D3PN","B07XF1N5JY"
"A Touch of Chaos (Hades x Persephone Saga Book 7)","B0BTV277VT","B07HKJ1ZVY"
"Lovelight Farms","B0BVRQQJ7X","B09K6H94FV"
"The Flatshare: A Novel","B07KF75BSQ","B07D74XMFS"
"Check & Mate","B0BV5X9VB8","B08ZYW66XW"
"The Au Pair Affair: A Novel (Big Shots Book 2)","B0CLJW5KC2","B00BKMOZYO"
"Five Brothers","B0CM5L5T6D","B00DH04U8I"
"Dream Girl Drama: A Spicy Sports Rom-Com with an Unconventional Love Story (Big Shots Book 3)","B0D2VNCDRQ","B00BKMOZYO"
"First-Time Caller (Heartstrings Book 1)","B0D3Z2M35D","B09K6H94FV"
"Goldfinch (The Plated Prisoner Series Book 6)","B0CLFB86PL","B07GT8KZCC"
"Gold (The Plated Prisoner Series Book 5)","B0B4F9G5JD","B07GT8KZCC"
"King of Envy (Kings of Sin Book 5)","B0CZV38Z7J","B00X0CEQNW"
"Some Kind of Perfect (Addicted Series)","B01FWXWOV2","B00464PUBK"
"Some Kind of Perfect (Addicted Series)","B01FWXWOV2","B00DEHIAO4"
"Rewind It Back (Windy City Series Book 5)","B0D888FZSD","B09DWX54JM"
"Problematic Summer Romance","B0DZ3JM6XM","B08ZYW66XW"
"The Best Wrong Move: Off-Limits, Book 1","B0F62R6JN4","B0DPR1254H"
"Better Luck Next Time","B0DXQL2RJ5","B085Z38C15"
"Releasing 10: An Epic, Emotional, and Addictive Romance from TikTok Phenomenon! (Boys of Tommen Book 6)","B0F1Y9XH1B","B00IH4LJSI"
"Great Big Beautiful Life: Reese's Book Club","B0DGCLB3X3","B01BW7AX4W"
"The Way of Kings: Book One of the Stormlight Archive (The Stormlight Archive, 1)","B003P2WO5E","B001IGFHW6"
"The Alloy of Law: A Mistborn Novel (The Mistborn Saga Book 4)","B00540QR7Q","B001IGFHW6"
"Addicted to You","B00DE5EBZ8","B00464PUBK"
"Addicted to You","B00DE5EBZ8","B00DEHIAO4"
"Gild (The Plated Prisoner Series Book 1)","B08HJDG47W","B07GT8KZCC"
"Gleam (The Plated Prisoner Series Book 3)","B08XK8L1J7","B07GT8KZCC"
"Glint (The Plated Prisoner Series Book 2)","B08RW8MW3D","B07GT8KZCC"
"Glow (The Plated Prisoner Series Book 4)","B095G183J6","B07GT8KZCC"
"Thrive (Addicted Series)","B00LWSNUQ0","B00464PUBK"
"Thrive (Addicted Series)","B00LWSNUQ0","B00DEHIAO4"
"Addicted After All","B00P2RBHPS","B00464PUBK"
"Addicted After All","B00P2RBHPS","B00DEHIAO4"
"Fuel the Fire (Addicted Series)","B00VJSQKWY","B00464PUBK"
"Fuel the Fire (Addicted Series)","B00VJSQKWY","B00DEHIAO4"
"Long Way Down (Addicted Series)","B0188332MI","B00464PUBK"
