created_timestamp,preferred_marketplace,country_of_residence,device_family,ASIN,audible_immersion_reading_context,audible_immersion_reading_action,book_reading_mode,narration_duration_in_seconds
2024-03-19T21:09:58Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,1365
2024-03-21T00:14:35Z,US,Not Available,Kindle for iOS,B00NEQRNVG,inbook_mini_player,narration,vertical_scroll_view,1528
2024-03-22T01:02:56Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1255
2024-03-22T01:04:51Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,1370
2024-03-22T15:01:37Z,US,Not Available,,Not Available,out_of_app,narration,not_applicable,1276
2024-03-19T21:09:42Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1348
2024-03-22T19:15:55Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,1
2024-03-22T14:58:21Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,1081
2024-03-22T20:48:26Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1041
2024-03-22T01:03:04Z,US,Not Available,Kindle for iOS,B0183KJZE0,out_of_app,narration,not_applicable,1263
2024-03-20T23:04:18Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,0
2024-03-22T22:04:52Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,222
2024-03-22T01:04:54Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1373
2024-03-22T19:15:50Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,0
2024-03-21T22:08:34Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,2086
2024-03-22T19:50:26Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,4
2024-03-25T06:08:23Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,570
2024-03-20T21:43:43Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,121
2024-03-21T13:04:27Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,529
2024-03-21T12:48:45Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,2072
2024-03-20T22:59:36Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,14
2024-03-19T20:37:30Z,US,Not Available,Kindle for iOS,B008UCJ7KO,inbook_mini_player,narration,vertical_scroll_view,0
2024-03-19T21:08:10Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,1257
2024-03-27T11:22:24Z,US,Not Available,Kindle for iOS,Not Available,out_of_app,narration,not_applicable,343
2024-03-20T23:03:16Z,US,Not Available,Kindle for iOS,B00NEQRNVG,out_of_app,narration,not_applicable,81
2024-03-19T02:20:41Z,US,Not Available,Kindle for iOS,B008673ZAQ,inbook_mini_player,narration,vertical_scroll_view,627
2024-03-20T13:38:12Z,US,Not Available,Kindle for iOS,B00NEQRNVG,inbook_mini_player,narration,vertical_scroll_view,347
2024-03-22T15:00:59Z,US,Not Available,,Not Available,inbook_mini_player,narration,vertical_scroll_view,1238
2024-03-11T12:28:22Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,3
2024-03-19T20:33:52Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,311
2024-03-27T09:25:48Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,60
2024-03-19T21:41:46Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,155
2024-03-19T21:14:21Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,1627
2024-03-27T02:34:05Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,134
2024-03-26T01:34:03Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,538
2024-03-22T22:04:41Z,US,Not Available,Kindle for iOS,B0CHWQPB49,out_of_app,narration,not_applicable,211
2024-03-22T14:35:23Z,US,Not Available,,Not Available,out_of_app,narration,not_applicable,200
2024-03-21T22:04:41Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,1852
2024-03-21T11:32:55Z,US,Not Available,Kindle for iOS,B0183KJZE0,inbook_mini_player,narration,vertical_scroll_view,359
2024-03-19T20:37:32Z,US,Not Available,Kindle for iOS,B008UCJ7KO,inbook_mini_player,narration,vertical_scroll_view,0
2024-03-22T21:55:50Z,US,Not Available,Kindle for iOS,Not Available,inbook_mini_player,narration,vertical_scroll_view,355
2024-03-19T21:10:15Z,US,Not Available,Kindle for iOS,B008UCJ7KO,out_of_app,narration,not_applicable,1382
2024-03-27T11:36:52Z,US,Not Available,Kindle for iOS,B09ZKRWCG4,inbook_mini_player,narration,vertical_scroll_view,721
2024-03-27T02:35:17Z,US,Not Available,Kindle for iOS,B08X472VK3,out_of_app,narration,not_applicable,205
