device_record_time,Device Serial Number,device_type,country_of_residence,software_version,product_mode,metric_level,reason_code,Amazon Marketplace
2024-04-16T08:32:14Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-16T02:13:09Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-16T02:10:55Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-16T02:07:08Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-16T02:07:07Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-16T01:31:35Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-16T01:30:31Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-16T01:09:43Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-15T23:48:02Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-15T23:48:01Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-15T20:07:28Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-15T08:32:24Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-15T08:32:13Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-15T00:54:51Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-15T00:54:25Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
2024-04-15T00:54:20Z,G8S1LG134041039L,Ereader,United States,4193160020,Not Available,deviceAction,Not Available,Amazon.com
