title_deletion_date,collection_creation_date,title_added_date,is_title_deleted,is_collection_discoverable,last_modified_date,product_name,collection_name,collection_description,total_items_in_collection,is_public_collection,is_collection_archived,profile_name,content_delivery_type,ASIN,collection_type,marketplace,collection_id
"2024-12-18T18:31:51Z","Not Available","2024-12-18T18:21:50Z","Yes","Not Available","2024-12-18T18:31:51Z","The Naughty, the Nice and the Nanny","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09WJDNY19","Not Available","Not Available","PENDING"
"2024-12-18T18:30:55Z","Not Available","2024-12-18T18:20:54Z","Yes","Not Available","2024-12-18T18:30:55Z","How to Lose a Guy Before Christmas","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CMZ1QRHD","Not Available","Not Available","PENDING"
"2024-12-18T18:30:23Z","Not Available","2024-12-18T18:20:21Z","Yes","Not Available","2024-12-18T18:30:23Z","Not Another Christmas Rom Com","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0DKKJ8HR3","Not Available","Not Available","PENDING"
"Not Available","Not Available","2024-12-18T18:21:50Z","No","Not Available","2024-12-18T18:21:50Z","The Naughty, the Nice and the Nanny","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B09WJDNY19","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-12-18T18:20:54Z","No","Not Available","2024-12-18T18:20:54Z","How to Lose a Guy Before Christmas","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0CMZ1QRHD","Not Available","Not Available","AYCL"
"Not Available","Not Available","2024-12-18T18:20:21Z","No","Not Available","2024-12-18T18:20:21Z","Not Another Christmas Rom Com","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B0DKKJ8HR3","Not Available","Not Available","AYCL"
"2024-12-08T04:26:00Z","Not Available","2024-12-08T04:16:06Z","Yes","Not Available","2024-12-08T04:26:00Z","The Words","Not Available","Not Available","Not Available","Not Available","No","Alex","MultiPartBook","B09ZVK42N4","Not Available","Not Available","PENDING"
"2024-12-06T21:00:56Z","Not Available","2024-12-06T20:51:00Z","Yes","Not Available","2024-12-06T21:00:56Z","The Chase","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B07P7WSW79","Not Available","Not Available","PENDING"
"Not Available","2023-10-09T15:47:43Z","Not Available","Not Available","No","2024-12-06T03:29:11Z","Not Available","Items a User has Purchased","Titles which have been ordered and fulfilled successfully","31","No","Not Available","Alex","Not Available","Not Available","PermanentCollection","www.audible.com","PURCHASE"
"2024-12-06T03:29:11Z","Not Available","2024-03-29T21:25:15Z","Yes","Not Available","2024-12-06T03:29:11Z","Burn for You","Not Available","Not Available","Not Available","Not Available","No","Alex","SinglePartBook","B075VCGDC3","Not Available","Not Available","PURCHASE"
