Created Timestamp,Preferred Marketplace,Country Of Residence,Device Family,ASIN,Search ID,Search Session ID,Search Result Selected Position,Search Result Section Position,Search Result Section Position Shown,Total Store Search Results Found,Search Outcome,Selected Search Result Value,Search Outcome Type,Search Action Sequence Number,Specialized Content ID
2024-03-08T17:06:52Z,US,Not Available,Kindle for iOS,Not Available,A0A677B5-424D-488A-B4D0-CCA56094DA6B,2548C7E1-610B-4DF7-BC35-0C55B6537288,1,2,Library|Store,42,Product Detail Page Opened,B079JF4D4S,ASIN,1,No Data
2024-03-07T05:09:43Z,US,Not Available,Kindle for iOS,Not Available,7267F85B-0DDE-4D6A-88AF-B2348FE8ADF5,F5DBAAEB-0A21-44BA-8D1E-271A93EAC323,1,1,Store,335,Product Detail Page Opened,B083TZV25B,ASIN,1,No Data
2024-03-08T18:36:41Z,US,Not Available,Kindle for iOS,Not Available,AD6560B6-00E4-49E5-A585-80965C391255,5D408794-E00E-4D78-8CBF-9FAEB27B553C,1,1,Store,24,Product Detail Page Opened,B099QTBDB4,ASIN,1,No Data
2024-03-08T18:13:11Z,US,Not Available,Kindle for iOS,Not Available,2E76B264-91C9-47DA-B240-641E477BDFE6,5D408794-E00E-4D78-8CBF-9FAEB27B553C,1,1,Store,2500,Exit Search,null,Non ASIN,2,No Data
2024-04-14T20:08:54Z,US,Not Available,Kindle for iOS,Not Available,C34805A4-CD55-41E2-BB5F-B290B3F32888,ED32617B-4C0A-4310-9012-C0652FF64461,1,1,Store,2500,Product Detail Page Opened,B0778VDY46,ASIN,1,No Data
2024-03-03T07:00:53Z,US,Not Available,Kindle for iOS,Not Available,13E34A33-1AEC-4C39-9FC9-FD46603E488B,B24C0BEF-B278-471C-9973-E2E4D6F0398C,1,1,Store,28,Product Detail Page Opened,B0CCSMJ6L3,ASIN,1,No Data
2024-03-27T01:44:57Z,US,Not Available,Kindle for iOS,Not Available,61112238-96D8-4FD6-B95D-01C92EBF3DAB,2032436F-8BA6-40E6-8C30-497863232B7C,2,1,Store,4,Product Detail Page Opened,B0CYWDS6CT,ASIN,1,No Data
2024-03-18T04:00:19Z,US,Not Available,Kindle for iOS,Not Available,6AFEDDD5-6F74-4CCD-A183-68EBAFB94493,C91DAEC3-492D-4EF7-A3E9-744A23761457,2,2,No Section Shown,118,Exit Search,null,Non ASIN,2,No Data
2024-03-03T07:00:04Z,US,Not Available,Kindle for iOS,Not Available,13E34A33-1AEC-4C39-9FC9-FD46603E488B,B24C0BEF-B278-471C-9973-E2E4D6F0398C,1,1,No Section Shown,2500,Search Again After No Action,null,Non ASIN,1,No Data
2024-03-22T02:55:14Z,US,Not Available,Kindle for iOS,Not Available,97471CCA-9E6E-45CA-8B7C-25A745B40CF7,2546E99B-23A7-427F-AF58-FC2DC4888BCB,1,1,Store,222,Clear Search Results,null,Non ASIN,3,No Data
2024-03-04T09:32:34Z,US,Not Available,Kindle for iOS,Not Available,6AE7ECA2-8E8A-4745-8D66-2084D59946F6,045532BB-11F1-429D-A210-2DEBF33085E5,1,1,No Section Shown,264,Search Again After No Action,null,Non ASIN,1,No Data
2024-03-23T02:50:22Z,US,Not Available,Kindle for iOS,Not Available,9614B555-009E-449E-9FA9-6EDE71AFFD2C,1B13AE8F-A027-4852-B31C-2A599A20BBA2,1,2,No Section Shown,28,Exit Search,null,Non ASIN,2,No Data
2024-02-24T20:29:13Z,US,Not Available,Kindle for iOS,Not Available,9C45D2D1-89D2-4464-BD02-2326802AF2CF,0B113558-568D-46B5-B87C-54853D8F4D2C,6,1,Store,512,Search Reworded,null,Non ASIN,1,No Data
2024-03-27T02:44:10Z,US,Not Available,Kindle for iOS,Not Available,A22FDE96-CC1F-498C-B419-7A132C960424,2032436F-8BA6-40E6-8C30-497863232B7C,1,1,Store,2102,Clear Search Results,null,Non ASIN,2,No Data
2024-02-25T23:58:24Z,US,Not Available,Kindle for iOS,Not Available,89226270-1245-4A68-9990-8C557316BD10,E7B22249-061D-43B7-9F98-A2805C2D3AEB,1,1,Store,8,Search Reworded,null,Non ASIN,1,No Data
2024-03-03T07:01:05Z,US,Not Available,Kindle for iOS,Not Available,13E34A33-1AEC-4C39-9FC9-FD46603E488B,B24C0BEF-B278-471C-9973-E2E4D6F0398C,1,1,Store,34,Product Detail Page Opened,B076G47245,ASIN,1,No Data
2024-03-11T03:10:36Z,US,Not Available,Kindle for iOS,Not Available,18F200DF-E7B2-44EC-915D-9847E4DEF758,8289F51C-582B-4669-B28F-CCC13DF50D6A,1,1,Store,154,Product Detail Page Opened,B08ZJSWR6Q,ASIN,1,No Data
2024-03-04T09:32:41Z,US,Not Available,Kindle for iOS,Not Available,6AE7ECA2-8E8A-4745-8D66-2084D59946F6,045532BB-11F1-429D-A210-2DEBF33085E5,1,1,Store,372,Clear Search Results,null,Non ASIN,1,No Data
2024-04-06T13:31:24Z,US,Not Available,Kindle for iOS,Not Available,855CD24F-C472-458F-8165-C740D2E727A7,9BC664DF-6042-4D7B-BE23-190A322B251E,0,0,Store,2500,Search Reworded,null,Non ASIN,1,No Data
2024-03-08T17:06:44Z,US,Not Available,Kindle for iOS,Not Available,A0A677B5-424D-488A-B4D0-CCA56094DA6B,2548C7E1-610B-4DF7-BC35-0C55B6537288,1,1,Store,92,Clear Search Results,null,Non ASIN,2,No Data
2024-02-24T02:50:10Z,US,Not Available,Kindle for iOS,Not Available,AEBBAE2E-57E3-4502-A47D-BB0EA20BCBB0,B5B9E017-4340-4561-A3F3-C099959EE2FD,1,1,Store,253,Exit Search,null,Non ASIN,2,No Data
2024-03-04T09:52:07Z,US,Not Available,Kindle for iOS,Not Available,6AE7ECA2-8E8A-4745-8D66-2084D59946F6,045532BB-11F1-429D-A210-2DEBF33085E5,7,1,Store,343,Clear Search Results,null,Non ASIN,2,No Data
2024-03-08T18:36:22Z,US,Not Available,,Not Available,E1A3E8C9-D140-4A34-8344-76861CA90E4E,18E352B4-753A-4157-8371-8B5483DE0095,0,0,No Section Shown,Not Included in Search Result,Exit Search,null,Non ASIN,1,No Data
2024-03-08T17:07:03Z,US,Not Available,Kindle for iOS,Not Available,A0A677B5-424D-488A-B4D0-CCA56094DA6B,2548C7E1-610B-4DF7-BC35-0C55B6537288,1,2,Library|Store,42,Exit Search,null,Non ASIN,2,No Data
2024-03-26T04:07:36Z,US,Not Available,Kindle for iOS,Not Available,C8E35961-F467-430C-9C21-9BD4E05C2EE3,1E3468CE-E6E6-432C-A250-3C7FE9C536CD,1,1,Store,10,Product Detail Page Opened,B0BCZWC3QZ,ASIN,1,No Data
2024-03-28T21:22:41Z,US,Not Available,Kindle for iOS,Not Available,99D80940-B6C0-49DB-8451-55CF801F86BB,F2426F09-36FA-492E-A69C-851EA5BD77B0,1,1,Store,2500,Product Detail Page Opened,B00B7NPRY8,ASIN,1,No Data
2024-02-24T20:28:56Z,US,Not Available,Kindle for iOS,Not Available,9C45D2D1-89D2-4464-BD02-2326802AF2CF,0B113558-568D-46B5-B87C-54853D8F4D2C,6,1,Store,516,Clear Search Results,null,Non ASIN,1,No Data
2024-02-29T01:26:03Z,US,Not Available,Kindle for iOS,Not Available,D066507D-0BF5-45E5-B002-00376FD01493,C99F2CF7-105F-406F-99F3-DCF0BED2C227,2,1,Library|Store,345,Exit Search,null,Non ASIN,4,No Data
2024-03-27T02:36:41Z,US,Not Available,Kindle for iOS,Not Available,A22FDE96-CC1F-498C-B419-7A132C960424,2032436F-8BA6-40E6-8C30-497863232B7C,1,1,Store,2500,Product Detail Page Opened,B0C1X8GDPV,ASIN,1,No Data
2024-03-04T00:06:31Z,US,Not Available,Kindle for iOS,Not Available,5BF491EB-5E88-4D69-AAA2-49DC43AFDD6B,045532BB-11F1-429D-A210-2DEBF33085E5,1,1,Library|Store,86,Exit Search,null,Non ASIN,2,No Data
2024-03-26T04:28:06Z,US,Not Available,Kindle for iOS,Not Available,C8E35961-F467-430C-9C21-9BD4E05C2EE3,1E3468CE-E6E6-432C-A250-3C7FE9C536CD,1,1,Store,10,Search Again After No Action,null,Non ASIN,3,No Data
2024-02-26T16:32:32Z,US,Not Available,Kindle for iOS,B09X6KD3CS,C3AC1EAE-BFA4-48D0-84E7-329542459DCF,9175B57E-B509-49E5-9AD7-0BBF3ED63535,1,2,Library|Store,32,Search Again After No Action,null,Non ASIN,2,No Data
2024-02-25T23:59:53Z,US,Not Available,Kindle for iOS,Not Available,8ADDF78B-17AD-45ED-829D-D75E0B8C72CF,7E0693E8-F008-4CDA-A81B-4BC6CF946E2D,1,1,Store,2500,Search Reworded,null,Non ASIN,1,No Data
2024-03-27T03:01:56Z,US,Not Available,Kindle for iOS,Not Available,A22FDE96-CC1F-498C-B419-7A132C960424,2032436F-8BA6-40E6-8C30-497863232B7C,1,1,Store,63,Product Detail Page Opened,B0B36FKPS8,ASIN,1,No Data
2024-03-27T02:40:27Z,US,Not Available,Kindle for iOS,Not Available,A22FDE96-CC1F-498C-B419-7A132C960424,2032436F-8BA6-40E6-8C30-497863232B7C,1,1,Store,2102,Product Detail Page Opened,B00U6XPLTG,ASIN,1,No Data
2024-04-13T12:40:23Z,US,Not Available,Kindle for iOS,Not Available,26A6B942-7EF2-4293-956F-274BC084C552,5DED3AB6-6983-4F0F-88A2-B5BD5AC99D07,2,1,Store,2500,Clear Search Results,null,Non ASIN,2,No Data
2024-02-24T18:59:25Z,US,Not Available,Kindle for iOS,Not Available,9C45D2D1-89D2-4464-BD02-2326802AF2CF,0B113558-568D-46B5-B87C-54853D8F4D2C,1,1,Store,105,Product Detail Page Opened,B0CBSH3BXT,ASIN,1,No Data
2024-03-26T04:28:15Z,US,Not Available,Kindle for iOS,Not Available,C8E35961-F467-430C-9C21-9BD4E05C2EE3,1E3468CE-E6E6-432C-A250-3C7FE9C536CD,1,1,Store,8,Exit Search,null,Non ASIN,1,No Data
2024-04-13T12:40:09Z,US,Not Available,Kindle for iOS,Not Available,26A6B942-7EF2-4293-956F-274BC084C552,5DED3AB6-6983-4F0F-88A2-B5BD5AC99D07,2,1,Store,2500,Product Detail Page Opened,B0778CV9Y4,ASIN,1,No Data
2024-03-28T02:34:06Z,US,Not Available,Kindle for iOS,Not Available,90185447-8969-41B4-B92E-D1118A0C3F3A,808B5A1C-ACFA-4CA9-8ECE-129AEEFD7C7F,5,1,Store,368,Exit Search,null,Non ASIN,1,No Data
